"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2012-02;25,500000;26,510000;25,190001;25,730000;122500,000000;24,383495
2012-03;26,070000;26,209999;23,500000;24,230000;12700,000000;22,961992
2012-04;24,250000;24,770000;22,190001;24,350000;5400,000000;23,075714
2012-05;24,350000;24,900000;20,000000;20,650000;6300,000000;19,569342
2012-06;20,000000;21,830000;19,280001;21,030001;6800,000000;19,929457
2012-07;20,920000;22,840000;20,240000;22,320000;16100,000000;21,151947
2012-08;22,520000;23,549999;21,270000;22,600000;21500,000000;21,417295
2012-09;22,730000;25,270000;22,150000;23,600000;7000,000000;22,364964
2012-10;23,700001;24,500000;22,910000;23,100000;3600,000000;21,891129
2012-11;23,350000;23,549999;21,790001;22,440001;5800,000000;21,265669
2012-12;22,629999;23,350000;22,040001;22,760000;7800,000000;21,774591
2013-01;23,260000;24,620001;22,680000;24,469999;10600,000000;23,410555
2013-02;24,670000;25,230000;23,590000;24,299999;8400,000000;23,247915
2013-03;24,110001;26,150000;23,889999;25,400000;7300,000000;24,300291
2013-04;25,309999;25,809999;23,320000;25,120001;17100,000000;24,032415
2013-05;24,809999;26,700001;24,610001;25,900000;7500,000000;24,778643
2013-06;25,660000;26,469999;24,270000;25,299999;9600,000000;24,204620
2013-07;25,650000;27,240000;25,320000;26,730000;9700,000000;25,572708
2013-08;27,240000;27,680000;26,299999;26,889999;47600,000000;25,725780
2013-09;27,389999;28,879999;27,049999;28,420000;18800,000000;27,189539
2013-10;28,490000;30,660000;28,000000;29,690001;30700,000000;28,404554
2013-11;29,809999;30,209999;28,160000;28,370001;27100,000000;27,141705
2013-12;28,500000;28,889999;27,410000;28,420000;19700,000000;27,328300
2014-01;28,459999;28,459999;26,980000;27,450001;27900,000000;26,395561
2014-02;27,430000;29,469999;26,850000;29,139999;14300,000000;28,020641
2014-03;28,709999;29,980000;28,520000;29,690001;19900,000000;28,549515
2014-04;29,830000;32,200001;29,740000;31,730000;23000,000000;30,511152
2014-05;31,540001;32,410000;31,120001;32,290001;33300,000000;31,049643
2014-06;32,419998;34,900002;32,110001;34,500000;54500,000000;33,174747
2014-07;34,790001;34,790001;32,110001;32,250000;48500,000000;31,011177
2014-08;32,009998;33,389999;31,420000;33,360001;33400,000000;32,078541
2014-09;33,340000;33,340000;29,650000;29,900000;28300,000000;28,751448
2014-10;29,780001;29,930000;23,930000;26,760000;52900,000000;25,732065
2014-11;26,820000;27,709999;23,070000;23,080000;58000,000000;22,193426
2014-12;22,930000;23,840000;19,700001;22,049999;72200,000000;21,473021
2015-01;21,850000;22,350000;19,799999;21,150000;33300,000000;20,596571
2015-02;21,389999;23,620001;21,389999;22,120001;30700,000000;21,541191
2015-03;21,990000;22,309999;20,200001;21,490000;30600,000000;20,927675
2015-04;21,420000;24,549999;21,420000;24,340000;25300,000000;23,703100
2015-05;24,400000;24,690001;21,709999;22,000000;43900,000000;21,424330
2015-06;21,969999;22,270000;20,600000;20,760000;19500,000000;20,216778
2015-07;20,950001;20,950001;16,799999;17,469999;78800,000000;17,012865
2015-08;17,379999;17,850000;14,480000;16,969999;51700,000000;16,525949
2015-09;16,459999;16,900000;14,570000;14,910000;45100,000000;14,519853
2015-10;15,210000;18,520000;15,070000;16,850000;26200,000000;16,409090
2015-11;16,820000;17,959999;16,100000;16,580000;27300,000000;16,146154
2015-12;16,580000;16,740000;12,470000;13,280000;32700,000000;13,280000
2016-01;13,250000;13,390000;9,900000;12,880000;48100,000000;12,880000
2016-02;12,500000;13,080000;10,900000;11,870000;25800,000000;11,870000
2016-03;11,950000;14,790000;11,710000;14,130000;28800,000000;14,130000
2016-04;13,920000;17,000000;13,560000;16,540001;23800,000000;16,540001
2016-05;16,219999;16,950001;15,120000;16,549999;54000,000000;16,549999
2016-06;16,469999;17,799999;15,460000;16,559999;11800,000000;16,559999
2016-07;16,860001;17,209999;15,810000;16,480000;19700,000000;16,480000
2016-08;16,430000;18,020000;15,630000;17,260000;29000,000000;17,260000
2016-09;17,200001;18,400000;16,340000;18,049999;24000,000000;18,049999
2016-10;18,010000;18,490000;16,610001;16,610001;24700,000000;16,610001
2016-11;16,709999;18,840000;16,190001;18,799999;31500,000000;18,799999
2016-12;19,340000;19,350000;18,700001;18,930000;37100,000000;18,930000
