"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2010-09;50,720001;53,500000;49,990002;52,750000;10400,000000;48,952885
2010-10;53,180000;55,830002;51,980000;54,970001;7000,000000;51,013084
2010-11;55,250000;57,759998;54,860001;56,180000;1600,000000;52,135983
2010-12;56,180000;62,070000;56,180000;61,549999;2300,000000;57,463470
2011-01;61,799999;62,310001;60,049999;60,470001;2200,000000;56,455177
2011-02;61,590000;64,559998;61,230000;63,830002;3100,000000;59,592094
2011-03;63,230000;64,730003;60,200001;64,730003;2500,000000;60,432343
2011-04;65,070000;65,589996;62,470001;65,449997;700,000000;61,104530
2011-05;65,870003;65,870003;61,770000;64,050003;1200,000000;59,797489
2011-06;64,059998;64,059998;59,110001;62,590000;2300,000000;58,434422
2011-07;64,250000;65,529999;60,759998;61,509998;2000,000000;57,426125
2011-08;62,320000;62,320000;50,509998;56,080002;5800,000000;52,356644
2011-09;56,250000;56,599998;49,599998;50,680000;1500,000000;47,315170
2011-10;50,209999;60,500000;47,660000;58,750000;1900,000000;54,849373
2011-11;57,360001;59,480000;53,160000;58,360001;2000,000000;54,485268
2011-12;59,000000;60,770000;56,709999;59,590000;1600,000000;56,236031
2012-01;60,680000;64,459999;59,689999;63,570000;1600,000000;59,992020
2012-02;64,510002;67,750000;64,510002;65,080002;3000,000000;61,417034
2012-03;65,919998;68,209999;63,049999;67,290001;1900,000000;63,502647
2012-04;67,290001;67,779999;63,090000;65,750000;2000,000000;62,049324
2012-05;65,660004;66,510002;60,150002;60,910000;1700,000000;57,481739
2012-06;59,570000;63,669998;58,480000;63,669998;1600,000000;60,086391
2012-07;63,669998;65,220001;61,480000;63,259998;1200,000000;59,699467
2012-08;63,150002;66,930000;61,970001;65,790001;1200,000000;62,087070
2012-09;66,269997;70,430000;66,269997;68,209999;600,000000;64,370865
2012-10;68,279999;68,720001;65,709999;66,430000;1500,000000;62,691048
2012-11;66,790001;68,050003;62,820000;67,540001;1400,000000;63,738575
2012-12;68,059998;70,430000;67,279999;69,169998;3900,000000;66,137344
2013-01;71,000000;73,470001;70,519997;72,730003;3000,000000;69,541267
2013-02;73,320000;75,550003;72,779999;74,029999;2500,000000;70,784264
2013-03;73,699997;78,029999;73,099998;77,099998;2800,000000;73,719666
2013-04;77,099998;77,309998;73,230003;77,029999;3700,000000;73,652733
2013-05;76,449997;82,070000;75,570000;80,650002;1900,000000;77,114021
2013-06;80,739998;82,139999;77,970001;80,620003;2900,000000;77,085342
2013-07;81,470001;87,099998;81,120003;85,639999;5500,000000;81,885239
2013-08;86,360001;86,930000;82,970001;82,970001;2700,000000;79,332306
2013-09;83,940002;88,669998;82,580002;88,169998;4500,000000;84,304314
2013-10;88,320000;92,650002;85,849998;91,250000;5700,000000;87,249283
2013-11;93,599998;95,519997;90,269997;94,970001;6600,000000;90,806183
2013-12;95,019997;97,570000;91,510002;95,610001;10000,000000;92,277023
2014-01;95,239998;95,860001;91,529999;92,050003;9300,000000;88,841125
2014-02;91,910004;96,830002;89,320000;96,830002;6600,000000;93,454498
2014-03;96,089996;98,970001;95,029999;97,669998;32800,000000;94,265205
2014-04;98,019997;99,160004;93,370003;95,269997;27600,000000;91,948875
2014-05;94,860001;96,779999;92,290001;96,089996;5300,000000;92,740288
2014-06;96,430000;99,860001;94,690002;99,709999;7400,000000;96,234093
2014-07;100,160004;101,580002;94,650002;94,709999;7600,000000;91,408394
2014-08;94,820000;99,059998;94,199997;98,800003;32300,000000;95,355820
2014-09;99,029999;99,809998;93,040001;93,040001;3900,000000;89,796616
2014-10;92,779999;99,570000;89,750000;99,510002;12500,000000;96,041069
2014-11;99,930000;101,230003;98,220001;100,750000;3700,000000;97,237839
2014-12;99,529999;102,589996;96,919998;101,410004;4800,000000;99,135002
2015-01;101,839996;101,839996;95,500000;95,970001;7700,000000;93,817039
2015-02;96,169998;102,050003;95,400002;101,650002;3800,000000;99,369614
2015-03;101,889999;103,860001;98,800003;102,589996;3500,000000;100,288521
2015-04;102,260002;104,440002;100,690002;100,910004;4900,000000;98,646217
2015-05;101,139999;103,180000;100,300003;101,800003;3000,000000;99,516251
2015-06;102,129997;105,330002;100,959999;102,059998;3100,000000;99,770416
2015-07;102,839996;102,900002;96,730003;99,010002;4100,000000;96,788841
2015-08;99,040001;99,500000;55,540001;94,709999;4600,000000;92,585304
2015-09;93,110001;95,709999;88,900002;90,260002;4800,000000;89,044807
2015-10;90,449997;96,970001;88,489998;95,989998;6100,000000;94,697662
2015-11;96,540001;98,849998;94,269997;98,510002;3400,000000;97,183739
2015-12;98,849998;99,190002;91,349998;93,839996;4300,000000;92,964905
2016-01;91,760002;91,760002;80,239998;87,470001;9200,000000;86,654312
2016-02;87,239998;90,339996;81,889999;89,459999;5800,000000;88,625755
2016-03;90,019997;98,330002;89,870003;97,599998;6300,000000;96,954315
2016-04;96,559998;101,339996;94,160004;99,800003;5000,000000;99,139771
2016-05;99,980003;100,400002;94,720001;100,150002;4500,000000;99,487450
2016-06;99,910004;103,379997;95,099998;100,449997;7800,000000;100,047546
2016-07;100,459999;106,279999;98,750000;105,750000;8000,000000;105,326317
2016-08;106,059998;108,169998;103,709999;107,019997;7400,000000;106,591225
2016-09;107,050003;108,900002;103,639999;107,820000;8800,000000;107,820000
2016-10;107,580002;107,580002;102,489998;103,059998;10700,000000;103,059998
2016-11;103,849998;118,959999;100,639999;117,220001;20200,000000;117,220001
2016-12;118,010002;120,860001;116,580002;120,730003;25200,000000;120,730003
