"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2014-10;20,330000;20,350000;20,100000;20,100000;11600,000000;20,100000
2014-11;20,209999;20,629999;19,570000;20,506001;2400,000000;20,506001
2014-12;20,280001;21,790001;19,950001;21,230000;2000,000000;21,230000
2015-01;21,040001;23,209999;20,868000;22,520000;4200,000000;22,520000
2015-02;22,000000;23,719999;21,959999;23,250000;9500,000000;23,250000
2015-03;23,450001;24,240000;22,190001;22,764000;6200,000000;22,764000
2015-04;22,500000;24,940001;22,190001;22,480000;4100,000000;22,480000
2015-05;22,695999;23,520000;22,419001;23,497000;1800,000000;23,497000
2015-06;23,490000;24,010000;22,879999;23,059999;2600,000000;23,059999
2015-07;23,250000;23,980000;22,370001;22,790001;1200,000000;22,790001
2015-08;22,790001;22,920000;18,670000;21,129999;2100,000000;21,129999
2015-09;20,500000;22,230000;18,200001;18,750000;1900,000000;18,750000
2015-10;18,410000;19,975000;18,410000;19,830000;700,000000;19,830000
2015-11;20,309999;20,870001;19,520000;20,674999;600,000000;20,674999
2015-12;20,580000;21,150000;19,250000;20,965000;1200,000000;20,965000
2016-01;20,076000;20,357000;16,520000;16,600000;1500,000000;16,600000
2016-02;16,790001;16,840000;15,001000;16,350000;400,000000;16,350000
2016-03;16,850000;17,940001;16,139999;17,545000;1000,000000;17,545000
2016-04;17,879999;18,860001;17,459999;17,459999;1300,000000;17,459999
2016-05;17,680000;17,930000;16,150000;17,930000;500,000000;17,930000
2016-06;17,930000;18,455000;16,146999;16,850000;800,000000;16,850000
2016-07;16,799999;18,945000;16,799999;18,730000;700,000000;18,730000
2016-08;19,000000;19,290001;17,930000;18,004999;1100,000000;18,004999
2016-09;18,000000;20,469999;18,000000;19,915001;2200,000000;19,915001
2016-10;19,670000;20,170000;16,715000;16,715000;1700,000000;16,715000
2016-11;16,620001;19,480000;15,850000;17,860001;16800,000000;17,860001
2016-12;17,799999;17,847000;17,320000;17,723000;700,000000;17,723000
