"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2000-10;84,937500;85,484383;78,984383;82,359383;3700,000000;57,510059
2000-11;84,468750;85,062500;78,937500;78,937500;800,000000;55,120621
2000-12;80,375000;82,562500;74,750000;76,968750;4000,000000;53,745880
2001-01;77,250000;80,680000;76,406250;79,940002;2000,000000;55,820652
2001-02;80,199997;80,250000;71,500000;72,599998;1100,000000;50,695259
2001-03;72,599998;74,000000;64,370003;68,000000;1200,000000;47,634277
2001-04;68,000000;74,500000;65,449997;74,500000;700,000000;52,187553
2001-05;74,199997;76,379997;72,879997;72,879997;2000,000000;51,052734
2001-06;73,050003;74,750000;69,699997;70,949997;4000,000000;49,859802
2001-07;70,300003;71,550003;67,449997;69,750000;6100,000000;49,016510
2001-08;69,870003;69,870003;64,970001;65,379997;1000,000000;45,945511
2001-09;65,620003;65,639999;55,299999;61,500000;2500,000000;43,323978
2001-10;61,369999;65,400002;61,160000;63,450001;800,000000;44,697666
2001-11;63,450001;67,800003;63,450001;66,349998;900,000000;46,740585
2001-12;66,349998;67,949997;64,790001;66,940002;500,000000;47,246075
2002-01;66,349998;67,900002;61,950001;63,380001;1500,000000;44,733433
2002-02;63,380001;63,520000;60,950001;62,950001;2400,000000;44,429943
2002-03;63,000000;66,760002;63,000000;64,949997;2300,000000;45,937103
2002-04;64,150002;64,379997;59,599998;60,119999;3000,000000;42,520996
2002-05;60,080002;62,279999;58,750000;59,990002;3200,000000;42,429054
2002-06;59,099998;59,290001;53,849998;56,200001;1300,000000;39,877232
2002-07;55,320000;56,400002;43,470001;51,400002;3400,000000;36,471348
2002-08;50,669998;55,180000;47,419998;51,740002;7600,000000;36,712597
2002-09;50,150002;51,299999;44,490002;45,799999;2000,000000;32,769325
2002-10;45,599998;51,650002;44,450001;50,220001;9200,000000;35,931782
2002-11;50,220001;53,919998;50,220001;53,919998;3400,000000;38,579082
2002-12;54,000000;54,000000;49,680000;50,000000;5800,000000;35,856205
2003-01;50,389999;52,860001;47,040001;48,200001;6100,000000;34,565384
2003-02;48,820000;48,919998;45,810001;47,250000;2000,000000;33,884113
2003-03;48,029999;50,200001;44,869999;47,750000;5400,000000;34,441284
2003-04;47,700001;51,750000;47,700001;51,299999;5000,000000;37,001839
2003-05;51,080002;53,849998;51,080002;53,779999;5300,000000;38,790623
2003-06;54,049999;57,200001;53,959999;54,310001;7300,000000;39,456486
2003-07;53,680000;55,840000;52,400002;54,450001;3800,000000;39,558197
2003-08;54,099998;54,970001;53,150002;54,099998;3900,000000;39,303917
2003-09;54,750000;57,389999;54,320000;54,900002;11200,000000;40,054020
2003-10;55,759998;57,500000;55,759998;56,680000;1200,000000;41,352676
2003-11;57,110001;57,900002;56,400002;57,540001;2600,000000;41,980114
2003-12;57,880001;61,230000;57,880001;61,220001;7800,000000;44,812889
2004-01;61,700001;63,639999;61,340000;62,099998;11200,000000;45,457047
2004-02;62,259998;63,770000;61,830002;62,889999;10500,000000;46,035324
2004-03;63,000000;63,480000;58,799999;60,750000;14100,000000;44,697845
2004-04;61,099998;62,150002;60,430000;60,430000;6100,000000;44,462402
2004-05;60,750000;61,820000;59,330002;60,950001;26500,000000;44,845001
2004-06;61,009998;62,380001;60,610001;61,419998;27600,000000;45,319649
2004-07;61,080002;61,080002;58,869999;59,840000;13200,000000;44,153824
2004-08;59,980000;60,630001;58,360001;60,349998;8700,000000;44,530132
2004-09;60,419998;61,680000;60,070000;60,279999;6000,000000;44,660572
2004-10;60,810001;61,560001;59,299999;60,959999;4300,000000;45,164375
2004-11;61,060001;63,959999;60,820000;63,099998;14600,000000;46,749870
2004-12;63,320000;66,000000;60,980000;64,430000;12600,000000;48,117836
2005-01;64,519997;64,610001;62,320000;63,139999;4600,000000;47,154434
2005-02;63,080002;65,580002;63,080002;65,300003;11600,000000;48,767574
2005-03;65,519997;66,300003;62,490002;63,119999;11600,000000;47,405224
2005-04;63,369999;63,930000;62,009998;62,919998;7500,000000;47,255016
2005-05;62,880001;64,400002;62,500000;64,400002;6000,000000;48,366550
2005-06;64,070000;64,570000;63,150002;63,320000;11400,000000;47,806812
2005-07;63,000000;64,989998;62,639999;64,410004;7900,000000;48,629768
2005-08;64,269997;65,669998;63,250000;64,089996;29500,000000;48,388161
2005-09;64,669998;66,000000;64,360001;64,930000;6300,000000;49,263248
2005-10;65,199997;65,199997;62,009998;63,889999;4200,000000;48,474186
2005-11;63,650002;66,150002;63,570000;64,980003;3900,000000;49,301186
2005-12;65,410004;66,349998;64,889999;65,010002;6000,000000;49,568478
2006-01;65,540001;67,519997;65,290001;66,540001;5400,000000;50,735065
2006-02;66,699997;66,980003;65,120003;66,339996;11000,000000;50,582565
2006-03;66,669998;68,220001;66,250000;67,160004;3600,000000;51,479698
2006-04;67,500000;69,070000;66,830002;69,070000;7500,000000;52,943756
2006-05;69,110001;70,010002;66,250000;66,949997;5300,000000;51,318726
2006-06;66,849998;67,970001;64,470001;66,980003;4100,000000;51,683193
2006-07;67,230003;69,589996;65,059998;69,370003;13300,000000;53,527367
2006-08;69,120003;71,720001;68,680000;71,300003;19300,000000;55,016598
2006-09;71,300003;71,889999;69,949997;71,620003;20100,000000;55,593357
2006-10;71,650002;74,440002;71,190002;73,470001;32800,000000;57,029377
