"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2013-10-01;25,000000;25,290001;24,690001;24,940001;4800,000000;23,273481
2013-11-02;24,969999;25,940001;24,320000;25,860001;4400,000000;24,194752
2014-00-02;25,799999;25,920000;25,309999;25,870001;3800,000000;24,204107
2014-01-03;25,990000;26,540001;25,459999;26,100000;8400,000000;24,419296
2014-02-03;26,250000;26,620001;26,049999;26,580000;3100,000000;25,013683
2014-03-01;26,730000;27,660000;26,480000;27,540001;2800,000000;25,917114
2014-04-01;27,680000;28,930000;27,580000;28,469999;2500,000000;26,792309
2014-05-02;28,620001;30,360001;28,520000;30,299999;3600,000000;28,687958
2014-06-01;30,340000;30,780001;29,250000;29,290001;4400,000000;27,731693
2014-07-01;29,270000;31,280001;28,920000;31,230000;10400,000000;29,568480
2014-08-02;31,379999;31,420000;29,400000;29,969999;5600,000000;28,528803
2014-09-01;29,950001;30,129999;26,049999;29,340000;8500,000000;27,929100
2014-10-03;29,180000;30,260000;28,549999;28,549999;3600,000000;27,177088
2014-11-01;28,490000;28,910000;25,500000;28,400000;9900,000000;27,144608
2015-00-02;28,600000;28,680000;25,299999;26,590000;7700,000000;25,414618
2015-01-02;26,850000;28,160000;26,850000;27,040001;5800,000000;25,844727
2015-02-02;27,070000;27,290001;25,580000;26,750000;6500,000000;25,743065
2015-03-01;26,930000;28,520000;26,750000;28,120001;5200,000000;27,061497
2015-04-01;28,240000;28,540001;26,860001;26,900000;3700,000000;25,887419
2015-05-01;26,799999;26,980000;25,410000;25,420000;3000,000000;24,653913
2015-06-01;25,320000;25,670000;23,360001;24,290001;4500,000000;23,557970
2015-07-03;23,879999;24,059999;20,950001;22,670000;5400,000000;21,986792
2015-08-01;22,070000;22,230000;18,480000;19,230000;7600,000000;18,766701
2015-09-01;19,670000;22,150000;19,520000;20,600000;4300,000000;20,103695
2015-10-02;20,620001;21,040001;18,580000;18,920000;3700,000000;18,464170
2015-11-01;19,059999;19,059999;15,570000;17,440001;29100,000000;17,083969
2016-00-04;17,389999;17,690001;13,510000;16,580000;20900,000000;16,241526
2016-01-01;16,490000;16,850000;14,060000;16,850000;6600,000000;16,506014
2016-02-01;16,790001;18,950001;16,670000;18,290001;2100,000000;17,916616
2016-03-01;18,139999;20,260000;17,370001;20,139999;3500,000000;19,728848
2016-04-02;20,190001;21,110001;19,430000;20,540001;2600,000000;20,120684
2016-05-01;20,799999;21,740000;20,209999;21,370001;4700,000000;21,174267
2016-06-01;21,620001;22,200001;21,049999;21,500000;6600,000000;21,303076
2016-07-01;21,500000;22,889999;20,959999;22,059999;9800,000000;21,857946
2016-08-01;21,990000;23,549999;21,920000;23,190001;5400,000000;23,190001
2016-09-03;23,100000;23,100000;22,020000;22,070000;2200,000000;22,070000
2016-10-01;22,080000;23,280001;21,420000;23,030001;10200,000000;23,030001
2016-11-01;23,770000;23,770000;22,590000;22,950001;25900,000000;22,950001
