"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2001-10;50,199989;50,199989;49,700008;49,700008;2400,000000;9,842668
2001-11;50,100002;53,900009;49,899986;53,420006;8300,000000;10,579382
2001-12;53,199989;55,350002;53,199989;54,170006;15300,000000;10,727913
2002-01;54,689999;56,439987;54,489990;55,490009;30500,000000;10,989328
2002-02;54,789993;56,250000;53,949989;54,830009;81700,000000;10,858621
2002-03;54,779999;57,350014;54,779999;57,080009;95600,000000;11,304214
2002-04;57,029999;57,980011;55,310013;57,399986;80800,000000;11,367583
2002-05;57,489990;60,189987;57,410007;59,739990;64600,000000;11,831000
2002-06;59,679989;59,949989;55,760010;56,550003;84300,000000;11,199250
2002-07;56,220001;57,789993;50,430000;52,790009;102600,000000;10,454616
2002-08;52,260002;54,440010;49,350002;53,159996;58400,000000;10,527889
2002-09;52,940010;53,390015;49,209991;49,509991;34300,000000;9,805036
2002-10;49,989990;52,889999;48,360001;52,230000;72500,000000;10,343711
2002-11;51,609985;53,639999;51,200008;53,100002;54000,000000;10,516007
2002-12;54,140015;54,140015;50,459999;50,570011;91500,000000;10,188545
2003-01;51,080009;54,039993;51,080009;52,199997;142200,000000;10,516945
2003-02;51,590012;51,639988;49,889999;51,129990;41000,000000;10,301366
2003-03;51,410007;51,989998;48,590012;51,489990;68100,000000;10,373897
2003-04;51,279991;53,949989;51,110012;53,630013;66000,000000;10,805056
2003-05;53,610001;57,480000;53,610001;57,369987;63500,000000;11,558564
2003-06;57,849991;61,449989;57,620010;58,809990;127400,000000;11,848687
2003-07;59,480011;61,400009;58,670006;60,300003;120100,000000;12,148886
2003-08;60,489990;63,330002;59,250000;63,000000;148100,000000;12,692865
2003-09;62,900009;66,239998;62,559990;65,420006;137300,000000;13,180434
2003-10;65,750008;70,539993;65,750008;69,770012;219100,000000;14,056847
2003-11;70,050003;70,089996;67,029991;69,209999;434400,000000;13,944019
2003-12;70,149986;72,999992;69,710007;72,479996;325500,000000;14,752024
2004-01;73,100014;77,589996;72,860016;74,300011;277000,000000;15,122455
2004-02;73,850014;79,520012;73,250008;77,720009;220500,000000;15,818535
2004-03;78,149994;78,290009;72,999992;77,469986;265400,000000;15,767648
2004-04;77,990005;78,999992;71,150009;72,000000;231300,000000;14,654328
2004-05;71,499992;74,070000;66,050011;72,540001;272400,000000;14,764236
2004-06;72,350014;73,709999;69,899994;73,209991;119900,000000;14,900600
2004-07;73,649994;76,299988;72,170006;73,260002;72600,000000;14,910779
2004-08;73,800003;75,909988;73,500000;75,789993;155600,000000;15,425714
