"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-07-14;25,350000;25,709999;23,570000;23,570000;300,000000;23,354111
2015-08-01;23,570000;23,570000;23,046000;23,490000;200,000000;23,274843
2015-09-01;23,490000;25,860001;23,490000;25,730000;300,000000;25,494326
2015-10-02;25,709999;26,020000;24,650000;24,650000;200,000000;24,424217
2015-11-01;24,650000;26,139999;24,650000;26,096001;100,000000;26,043869
2016-00-04;26,096001;26,096001;24,299999;24,299999;100,000000;24,251455
2016-01-01;24,299999;24,299999;22,500000;23,680000;100,000000;23,632694
2016-02-01;23,680000;26,419001;23,680000;26,419001;100,000000;26,366222
2016-03-01;26,469999;26,559999;26,070000;26,304001;100,000000;26,251453
2016-04-02;26,040001;27,247000;25,730000;26,406000;100,000000;26,353249
2016-05-01;26,406000;28,170000;26,406000;28,169001;200,000000;28,169001
2016-06-01;28,170000;29,000000;28,170000;29,000000;400,000000;29,000000
2016-07-01;29,000000;29,000000;27,820000;27,979000;1000,000000;27,979000
2016-08-01;27,959999;28,370001;26,709999;27,450001;95200,000000;27,450001
2016-09-03;27,309999;27,309999;25,320000;25,799999;22000,000000;25,799999
2016-10-01;25,790001;25,790001;24,540001;25,440001;17600,000000;25,440001
2016-11-01;25,320000;25,660000;24,985001;25,559999;14800,000000;25,559999
