"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2000-04-12;19,625000;19,812500;16,937500;19,250000;28400,000000;16,684578
2000-05-01;19,312500;22,562500;19,187500;21,000000;15500,000000;18,201359
2000-06-03;21,687500;22,000000;17,937500;18,437500;13000,000000;15,980359
2000-07-01;18,875000;20,312500;17,375000;18,750000;11900,000000;16,251213
2000-08-01;18,875000;18,875000;14,250000;16,375000;12800,000000;14,192726
2000-09-02;16,000000;16,250000;13,187500;13,687500;12100,000000;11,863385
2000-10-01;14,375000;15,375000;12,375000;12,625000;14800,000000;10,942483
2000-11-01;12,625000;14,250000;12,000000;12,250000;26800,000000;10,617459
2001-00-02;12,625000;16,125000;12,375000;15,100000;50800,000000;13,087644
2001-01-01;15,250000;15,480000;13,650000;13,770000;36400,000000;11,934891
2001-02-01;13,900000;14,030000;11,870000;12,240000;17900,000000;10,608791
2001-03-02;12,000000;14,070000;11,010000;14,010000;17800,000000;12,142906
2001-04-01;14,000000;15,440000;13,800000;15,070000;30100,000000;13,061641
2001-05-01;15,000000;15,250000;13,800000;14,290000;11200,000000;12,385591
2001-06-02;14,360000;14,490000;12,200000;13,100000;9600,000000;11,354181
2001-07-01;13,640000;14,300000;13,200000;13,200000;57800,000000;11,527729
2001-08-04;13,800000;13,880000;10,320000;11,010000;25400,000000;9,615174
2001-09-01;11,030000;13,330000;11,010000;12,820000;9400,000000;11,195870
2001-10-01;13,070000;17,700001;13,040000;16,260000;74300,000000;14,200067
2001-11-03;16,600000;18,480000;16,209999;17,709999;75400,000000;15,466370
2002-00-02;18,670000;20,240000;18,000000;19,190001;91200,000000;16,758873
2002-01-01;18,799999;21,650000;18,350000;21,280001;88200,000000;18,584097
2002-02-01;21,049999;23,350000;21,010000;22,950001;148900,000000;20,042530
2002-03-01;22,799999;24,600000;20,600000;22,540001;163600,000000;19,684471
2002-04-01;22,600000;24,500000;20,799999;23,030001;112300,000000;20,112394
2002-05-03;23,200001;24,129999;20,350000;21,889999;114500,000000;19,116817
2002-06-01;21,700001;23,889999;19,719999;20,250000;150500,000000;17,684586
2002-07-01;20,580000;22,049999;18,719999;21,040001;44500,000000;18,374502
2002-08-03;20,850000;21,330000;17,430000;17,510000;56600,000000;15,291708
2002-09-01;18,200001;19,680000;15,610000;18,840000;84700,000000;16,453215
2002-10-01;18,500000;21,700001;18,400000;21,200001;223400,000000;18,514233
2002-11-02;21,660000;22,100000;17,730000;18,350000;191000,000000;16,025291
2003-00-02;18,690001;20,190001;17,320000;17,629999;145700,000000;15,396504
2003-01-03;17,600000;18,260000;16,510000;16,990000;67400,000000;14,837584
2003-02-03;17,219999;17,600000;14,700000;15,020000;67300,000000;13,117159
2003-03-01;15,020000;18,200001;15,020000;17,270000;178100,000000;15,082113
2003-04-01;17,250000;18,990000;17,020000;18,500000;95900,000000;16,156288
2003-05-02;18,990000;20,690001;18,450001;19,990000;106800,000000;17,457523
2003-06-01;20,040001;22,730000;20,030001;21,700001;188700,000000;18,950890
2003-07-01;22,209999;23,990000;21,049999;23,389999;162600,000000;20,426786
2003-08-02;23,459999;24,100000;21,150000;21,350000;166500,000000;18,645229
2003-09-01;21,549999;24,500000;21,549999;24,190001;90300,000000;21,125439
2003-10-03;24,549999;25,490000;22,719999;23,670000;111100,000000;20,671314
2003-11-01;24,459999;25,240000;23,510000;25,040001;134400,000000;22,077793
2004-00-02;25,290001;27,940001;25,010000;26,580000;289300,000000;23,435612
2004-01-02;27,090000;28,500000;26,000000;27,620001;244200,000000;24,352583
2004-02-01;27,740000;28,740000;26,020000;28,190001;281400,000000;24,855152
2004-03-01;28,299999;30,100000;25,379999;25,850000;359000,000000;22,791971
2004-04-03;26,010000;26,510000;21,280001;24,850000;399600,000000;21,910271
2004-05-01;24,660000;24,990000;22,020000;24,340000;260300,000000;21,460602
2004-06-01;23,990000;24,049999;21,809999;22,049999;252900,000000;19,441505
2004-07-02;21,600000;27,070000;21,590000;24,250000;247300,000000;21,381248
2004-08-01;24,700001;26,100000;24,459999;25,000000;326400,000000;22,042524
2004-09-01;25,590000;26,750000;24,010000;25,540001;296500,000000;22,518644
2004-10-01;25,600000;28,590000;25,330000;28,260000;337600,000000;24,916870
2004-11-01;28,250000;29,340000;26,400000;29,250000;391400,000000;25,881403
2005-00-03;29,010000;31,010000;27,660000;30,969999;367800,000000;27,403316
2005-01-01;30,790001;34,639999;30,549999;34,330002;381500,000000;30,376362
2005-02-01;34,549999;34,799999;31,080000;31,809999;646600,000000;28,146578
2005-03-01;32,009998;33,299999;30,160000;30,840000;506500,000000;27,288290
2005-04-02;30,549999;32,840000;30,350000;32,150002;279300,000000;28,447424
2005-05-01;32,209999;33,490002;31,920000;32,000000;241900,000000;28,314697
2005-06-01;32,299999;36,250000;31,549999;35,990002;316900,000000;31,845188
2005-07-01;36,270000;42,000000;34,279999;35,099998;450700,000000;31,057682
2005-08-01;35,700001;43,200001;35,400002;39,450001;534500,000000;34,906712
2005-09-03;39,450001;40,410000;35,330002;37,250000;700900,000000;32,960075
2005-10-01;37,900002;41,299999;37,689999;40,790001;714000,000000;36,092392
2005-11-01;41,400002;45,160000;40,939999;44,750000;679100,000000;39,830952
2006-00-03;45,549999;48,509998;43,439999;48,209999;1352600,000000;42,910618
2006-01-01;47,750000;47,869999;43,900002;46,410000;1259100,000000;41,308479
2006-02-01;46,599998;47,250000;43,009998;46,650002;1079500,000000;41,522099
2006-03-03;47,500000;51,020000;47,230000;49,599998;1153400,000000;44,147823
2006-04-01;49,720001;52,900002;44,369999;45,299999;1740300,000000;40,320492
2006-05-01;45,000000;46,500000;39,540001;45,119999;1688600,000000;40,160278
2006-06-03;45,380001;45,799999;41,610001;45,150002;1163500,000000;40,186981
2006-07-01;44,709999;46,070000;43,869999;45,860001;713500,000000;40,818935
2006-08-01;46,040001;47,779999;44,849998;46,250000;1005600,000000;41,166065
2006-09-02;46,939999;47,950001;44,860001;47,240002;1109900,000000;42,047245
2006-10-01;47,610001;49,770000;46,930000;49,500000;818900,000000;44,058819
2006-11-01;49,689999;50,279999;47,849998;49,400002;785600,000000;44,267490
2007-00-03;49,070000;49,250000;45,400002;47,310001;1181300,000000;42,394634
2007-01-01;48,130001;51,919998;46,160000;48,990002;1418700,000000;43,900089
2007-02-01;47,700001;51,730000;45,310001;50,570000;1197600,000000;45,315929
2007-03-02;51,180000;54,709999;50,910000;53,060001;890700,000000;47,547226
2007-04-01;53,099998;58,549999;52,830002;58,099998;1178600,000000;52,063583
2007-05-01;58,970001;62,750000;58,400002;60,299999;1828200,000000;54,035011
2007-06-02;61,830002;69,570000;61,169998;65,970001;2212000,000000;59,115917
2007-07-01;63,849998;66,980003;52,599998;64,099998;3803500,000000;57,440201
