"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2013-10-05;100,320000;100,690002;100,269997;100,629997;100,000000;96,168022
2013-11-02;100,610001;100,610001;100,180000;100,379997;1700,000000;96,078194
2014-00-02;100,379997;100,559998;100,379997;100,550003;200,000000;96,390465
2014-01-03;100,550003;100,550003;100,449997;100,449997;0,000000;96,436676
2014-02-03;100,449997;100,449997;100,449997;100,449997;0,000000;96,615578
2014-03-01;100,449997;100,559998;100,309998;100,309998;0,000000;96,647606
2014-04-01;100,309998;100,309998;100,040001;100,040001;600,000000;96,550575
2014-05-02;100,040001;100,300003;100,010002;100,110001;0,000000;96,762146
2014-06-01;99,989998;100,099998;99,800003;99,870003;200,000000;96,705040
2014-07-01;99,870003;100,010002;99,800003;99,860001;100,000000;96,845673
2014-08-02;99,720001;99,809998;99,599998;99,660004;2600,000000;96,789459
2014-09-01;99,639999;99,790001;99,449997;99,550003;1800,000000;96,824631
2014-10-03;99,550003;102,500000;99,489998;99,489998;0,000000;96,899696
2014-11-01;80,449997;99,360001;80,449997;99,139999;500,000000;96,710823
2015-00-02;80,190002;99,599998;80,190002;99,309998;700,000000;96,965508
2015-01-02;99,309998;99,309998;97,870003;99,309998;0,000000;97,051506
2015-02-02;98,900002;99,599998;71,180000;99,209999;1700,000000;97,055458
2015-03-01;99,209999;99,309998;98,800003;99,260002;100,000000;97,104370
2015-04-01;99,260002;99,260002;92,680000;99,010002;10500,000000;97,007523
2015-05-01;99,029999;99,080002;98,910004;99,000000;33100,000000;97,065331
2015-06-01;98,959999;99,110001;98,879997;98,919998;23200,000000;97,115425
2015-07-03;99,000000;99,000000;98,760002;98,900002;18600,000000;97,217682
2015-08-01;98,900002;98,900002;98,690002;98,720001;1700,000000;97,177574
2015-09-01;98,720001;98,720001;97,739998;98,500000;200,000000;96,961006
2015-10-02;98,599998;98,599998;97,750000;97,750000;500,000000;96,333527
2015-11-01;97,750000;98,500000;97,750000;98,269997;4100,000000;97,025665
2016-00-04;98,269997;98,349998;98,059998;98,349998;500,000000;97,183846
2016-01-01;98,349998;98,349998;97,849998;98,000000;56000,000000;96,837990
2016-02-01;98,000000;98,239998;97,629997;97,809998;5200,000000;96,650246
2016-03-01;97,809998;98,019997;97,720001;97,910004;1500,000000;96,749062
2016-04-02;97,800003;98,089996;97,599998;97,790001;6400,000000;96,800529
2016-05-01;97,739998;102,849998;97,629997;97,949997;3600,000000;97,075859
2016-06-01;97,879997;98,139999;97,000000;97,580002;14400,000000;96,900269
2016-07-01;97,650002;98,050003;97,580002;97,589996;1900,000000;97,117424
2016-08-01;97,750000;97,989998;97,559998;97,919998;3500,000000;97,587296
2016-09-03;97,940002;98,180000;96,300003;97,559998;5800,000000;97,374817
2016-10-01;97,760002;97,760002;96,940002;96,940002;2300,000000;96,940002
2016-11-01;96,940002;97,379997;96,940002;97,180000;3300,000000;97,180000
