"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2012-01-28;30,510000;30,719999;30,510000;30,719999;100,000000;27,317690
2012-02-01;30,719999;30,719999;30,719999;30,719999;0,000000;27,317690
2012-03-02;30,719999;30,719999;28,540001;28,540001;0,000000;25,379131
2012-04-01;28,540001;29,730000;27,040001;27,040001;0,000000;24,045259
2012-05-01;27,040001;27,040001;27,040001;27,040001;0,000000;24,045259
2012-06-02;27,040001;27,040001;26,260000;26,260000;0,000000;23,351645
2012-07-01;26,260000;28,469999;26,260000;28,469999;200,000000;25,316881
2012-08-04;28,469999;29,389999;27,950001;28,680000;500,000000;26,151087
2012-09-01;28,680000;28,690001;28,469999;28,469999;0,000000;25,959602
2012-10-01;28,469999;28,469999;27,299999;27,320000;200,000000;24,911007
2012-11-03;27,320000;29,389999;27,320000;29,389999;0,000000;26,798481
2013-00-02;30,190001;30,190001;28,980000;29,030001;100,000000;26,470224
2013-01-01;29,030001;29,500000;29,030001;29,500000;100,000000;26,898781
2013-02-01;29,500000;30,120001;29,500000;29,920000;100,000000;27,281748
2013-03-01;29,920000;30,580000;29,840000;30,580000;100,000000;27,883551
2013-04-01;30,580000;31,959999;30,580000;31,750000;200,000000;28,950384
2013-05-03;31,750000;31,750000;31,040001;31,059999;0,000000;28,321224
2013-06-01;31,059999;31,059999;29,860001;29,860001;0,000000;27,227037
2013-07-01;29,860001;29,860001;28,889999;28,940001;0,000000;26,388161
2013-08-03;28,940001;32,250000;28,940001;31,240000;10400,000000;28,980492
2013-09-01;31,240000;31,920000;30,860001;31,280001;5500,000000;29,017601
2013-10-01;31,280001;31,280001;29,730000;29,730000;0,000000;27,579706
2013-11-02;29,730000;32,060001;29,730000;31,990000;2100,000000;29,676247
2014-00-02;31,850000;31,959999;30,120001;30,120001;200,000000;27,941500
2014-01-03;30,120001;31,010000;30,120001;31,010000;0,000000;28,767128
2014-02-03;31,010000;31,750000;31,010000;31,020000;0,000000;28,776405
2014-03-01;31,020000;33,610001;31,020000;32,880001;1200,000000;30,501877
2014-04-01;33,400002;35,500000;33,330002;35,189999;600,000000;32,644798
2014-05-02;35,189999;37,290001;35,189999;37,200001;400,000000;34,509422
2014-06-01;38,360001;39,560001;37,419998;37,419998;1200,000000;34,713509
2014-07-01;37,410000;39,540001;36,610001;39,450001;33500,000000;36,596687
2014-08-02;38,889999;39,080002;34,880001;35,220001;10500,000000;32,844490
2014-09-01;35,389999;36,259998;32,900002;35,939999;7200,000000;33,515926
2014-10-03;35,610001;36,840000;35,070000;36,250000;3600,000000;33,805019
2014-11-01;35,939999;36,939999;34,970001;36,349998;3700,000000;33,898273
2015-00-02;35,820000;38,320000;35,320000;37,240002;2600,000000;34,728245
2015-01-02;37,009998;39,080002;37,000000;39,040001;11300,000000;36,406841
2015-02-02;38,950001;40,000000;37,470001;38,450001;37500,000000;35,856632
2015-03-01;38,490002;41,709999;37,990002;40,290001;4700,000000;37,572529
2015-04-01;40,529999;41,270000;39,450001;40,750000;4200,000000;38,001503
2015-05-01;40,750000;40,750000;37,279999;37,889999;3100,000000;35,334404
2015-06-01;38,419998;38,419998;33,230000;34,090000;4900,000000;31,790705
2015-07-03;33,430000;33,750000;27,900000;31,850000;5200,000000;29,701788
2015-08-01;30,920000;33,950001;28,860001;30,010000;3800,000000;29,097637
2015-09-01;30,070000;32,540001;30,070000;31,299999;4400,000000;30,348419
2015-10-02;31,750000;32,369999;29,350000;29,350000;7400,000000;28,457703
2015-11-01;30,000000;30,129999;27,190001;28,410000;8200,000000;27,546280
2016-00-04;27,980000;28,700001;24,920000;26,510000;500,000000;25,704044
2016-01-01;26,510000;28,370001;26,250000;28,370001;1700,000000;27,507498
2016-02-01;29,100000;30,950001;28,889999;30,280001;1000,000000;29,359430
2016-03-01;29,910000;30,260000;28,530001;28,639999;1100,000000;27,769287
2016-04-02;28,639999;29,110001;26,719999;28,840000;1900,000000;27,963207
2016-05-01;28,940001;30,180000;28,290001;30,030001;1300,000000;29,117031
2016-06-01;30,500000;32,299999;29,430000;32,099998;1900,000000;31,124096
2016-07-01;32,450001;33,509998;32,150002;32,410000;1500,000000;31,424673
2016-08-01;32,330002;33,630001;31,950001;32,509998;400,000000;32,509998
2016-09-03;32,599998;32,830002;31,930000;32,259998;100,000000;32,259998
2016-10-01;32,259998;32,299999;29,870001;31,459999;200,000000;31,459999
2016-11-01;31,080000;31,170000;31,010000;31,129999;500,000000;31,129999
