"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-07;25,290001;25,299999;24,490000;24,490000;300,000000;22,658752
2015-08;24,490000;24,490000;23,260000;23,260000;0,000000;21,520725
2015-09;23,260000;23,260000;22,780001;22,780001;0,000000;21,076618
2015-10;22,780001;24,930000;22,780001;24,930000;0,000000;23,065851
2015-11;25,180000;25,450001;24,480000;24,527000;146400,000000;22,692986
2015-12;24,910000;25,070000;23,139999;23,259001;7100,000000;22,455561
2016-01;23,259001;23,259001;21,700001;22,629999;75500,000000;21,848286
2016-02;22,500000;22,782000;21,740000;22,580000;1900,000000;21,800014
2016-03;22,580000;24,020000;22,580000;23,790001;3100,000000;22,968218
2016-04;23,420000;23,980000;23,190001;23,980000;400,000000;23,151653
2016-05;23,469999;23,469999;22,870001;22,870001;100,000000;22,079998
2016-06;22,870001;23,900000;22,870001;23,084999;100,000000;22,287569
2016-07;23,084999;24,360001;23,084999;24,129999;300,000000;23,296471
2016-08;24,350000;25,020000;24,028999;24,940001;700,000000;24,078493
2016-09;24,753000;25,200001;24,230000;25,120001;1400,000000;24,252275
2016-10;25,120001;25,299999;24,650000;24,860001;10700,000000;24,001257
2016-11;24,860001;24,889999;24,350000;24,360001;100,000000;23,518528
2016-12;24,559999;24,559999;23,594999;23,594999;200,000000;23,594999
