"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2001-01-12;100,500000;106,203117;91,000000;96,906250;16300,000000;95,158325
2001-02-01;95,906250;97,937500;61,000000;76,406250;21600,000000;75,028091
2001-03-02;75,593750;93,199997;66,796883;91,250000;39000,000000;89,604103
2001-04-01;91,449997;104,599998;85,099998;99,150002;37200,000000;97,361610
2001-05-01;99,800003;109,300003;94,849998;99,800003;126200,000000;97,999886
2001-06-02;99,900002;100,309998;81,650002;87,000000;226900,000000;85,430756
2001-07-01;87,250000;91,400002;79,900002;87,800003;134300,000000;86,216331
2001-08-04;87,800003;90,750000;68,000000;74,349998;216900,000000;73,008926
2001-09-01;74,500000;91,400002;72,410004;86,300003;140900,000000;84,743385
2001-10-01;86,400002;96,550003;82,550003;94,550003;224800,000000;92,844582
2001-11-03;93,300003;98,019997;87,650002;91,050003;267200,000000;89,407707
2002-00-02;90,500000;90,849998;74,400002;78,300003;324800,000000;76,887688
2002-01-01;79,099998;81,349998;71,150002;74,449997;330900,000000;73,107124
2002-02-01;73,000000;82,739998;72,349998;77,099998;165800,000000;75,709328
2002-03-01;77,000000;78,099998;61,799999;64,900002;401600,000000;63,729382
2002-04-01;65,400002;65,589996;56,810001;57,950001;545400,000000;56,904743
2002-05-03;57,520000;58,150002;46,410000;51,000000;659900,000000;50,080101
2002-06-01;50,250000;52,279999;39,650002;51,599998;1203400,000000;50,669277
2002-07-01;51,599998;55,240002;46,599998;49,000000;975300,000000;48,116173
2002-08-03;47,799999;50,799999;42,880001;46,250000;631100,000000;45,415775
2002-09-01;46,450001;52,080002;44,099998;51,099998;662100,000000;50,178295
2002-10-01;51,080002;57,020000;50,549999;55,880001;368000,000000;54,872078
2002-11-02;57,000000;57,099998;48,950001;49,349998;389900,000000;48,459858
2003-00-02;50,250000;54,000000;48,250000;48,570000;394100,000000;47,693932
2003-01-03;48,400002;48,799999;45,970001;47,849998;213600,000000;46,986916
2003-02-03;47,980000;52,900002;46,200001;51,200001;309800,000000;50,276493
2003-03-01;51,200001;58,000000;50,000000;57,299999;338400,000000;56,266464
2003-04-01;57,000000;68,300003;56,270000;68,059998;498700,000000;66,832382
2003-05-02;71,300003;77,510002;65,150002;66,989998;898300,000000;65,781685
2003-06-01;66,099998;74,370003;65,099998;73,150002;538500,000000;71,830574
2003-07-01;72,900002;74,199997;64,709999;73,760002;543900,000000;72,429573
2003-08-02;73,860001;79,809998;69,320000;71,750000;698700,000000;70,455826
2003-09-01;72,000000;76,449997;68,300003;70,989998;639900,000000;69,709534
2003-10-03;71,900002;71,900002;65,699997;69,349998;559900,000000;68,099113
2003-11-01;70,050003;73,290001;67,199997;71,949997;495100,000000;70,652214
2004-00-02;73,040001;79,620003;72,620003;76,849998;474400,000000;75,463837
2004-01-02;77,550003;79,839996;75,000000;77,500000;551500,000000;76,102112
2004-02-01;78,110001;81,650002;72,860001;77,290001;663300,000000;75,895905
2004-03-01;77,400002;85,000000;77,290001;77,760002;938400,000000;76,357422
2004-04-03;77,320000;80,000000;72,750000;75,599998;1291900,000000;74,236382
2004-05-01;75,699997;76,800003;71,199997;75,099998;1011900,000000;73,745399
2004-06-01;75,500000;75,500000;63,750000;67,849998;845300,000000;66,626167
2004-07-02;67,199997;69,349998;61,220001;67,699997;732100,000000;66,478874
2004-08-01;68,050003;72,480003;67,760002;69,930000;719000,000000;68,668655
2004-09-01;70,500000;72,180000;64,500000;68,070000;946900,000000;66,842201
2004-10-01;68,199997;72,510002;66,750000;70,500000;612800,000000;69,228371
2004-11-01;70,610001;76,190002;70,610001;75,400002;752400,000000;74,039993
2005-00-03;75,849998;75,940002;69,440002;71,239998;935800,000000;69,955025
2005-01-01;71,349998;73,120003;67,589996;68,300003;1112200,000000;67,068062
2005-02-01;68,150002;69,349998;63,000000;63,549999;1611400,000000;62,403732
2005-03-01;64,300003;66,760002;62,299999;63,470001;1104100,000000;62,325176
2005-04-02;63,549999;67,809998;63,549999;66,699997;821000,000000;65,496910
2005-05-01;66,900002;68,949997;64,279999;67,900002;909800,000000;66,675270
2005-06-01;68,099998;77,900002;67,529999;76,000000;1202900,000000;74,629166
2005-07-01;76,180000;78,000000;73,449997;76,260002;931600,000000;74,884483
2005-08-01;76,550003;79,400002;75,500000;77,000000;925600,000000;75,611130
2005-09-03;77,099998;79,050003;70,279999;74,239998;1859100,000000;72,900909
2005-10-01;73,849998;80,449997;73,010002;76,709999;825200,000000;75,326363
2005-11-01;77,099998;79,459999;74,809998;77,239998;811900,000000;75,847763
2006-00-03;78,230003;81,839996;76,610001;80,309998;1076400,000000;78,862427
2006-01-01;82,800003;85,699997;78,169998;84,110001;1207500,000000;82,593941
2006-02-01;83,849998;85,040001;80,800003;82,379997;1050500,000000;80,895119
2006-03-03;81,839996;82,160004;75,839996;77,650002;1599700,000000;76,250381
2006-04-01;77,650002;78,199997;69,269997;73,199997;2234900,000000;71,880585
2006-05-01;73,849998;75,760002;68,779999;72,699997;1741700,000000;71,389595
2006-06-03;73,120003;73,209999;67,190002;71,489998;1532100,000000;70,201408
2006-07-01;71,019997;75,080002;68,620003;73,739998;1023700,000000;72,410851
2006-08-01;73,839996;74,519997;71,000000;73,779999;1193200,000000;72,450134
2006-09-02;73,550003;80,000000;72,300003;79,559998;1215200,000000;78,125946
2006-10-01;79,900002;82,150002;77,699997;80,080002;1127600,000000;78,636581
2006-11-01;80,250000;81,510002;77,669998;77,760002;1036300,000000;76,359360
2007-00-03;78,500000;81,750000;76,370003;79,839996;1042100,000000;78,401894
2007-01-01;80,500000;81,120003;76,580002;77,230003;1206800,000000;75,838913
2007-02-01;76,500000;76,500000;72,370003;75,779999;1457000,000000;74,415024
2007-03-02;75,930000;83,699997;75,500000;81,919998;1166500,000000;80,444427
2007-04-01;82,050003;83,629997;79,000000;81,379997;1143600,000000;79,914154
2007-05-01;81,300003;81,989998;77,000000;78,120003;1884800,000000;76,798813
2007-06-02;78,610001;80,750000;76,230003;76,290001;1557800,000000;74,999756
2007-07-01;76,239998;80,370003;74,800003;79,050003;1873900,000000;77,713081
2007-08-04;79,110001;84,019997;78,870003;83,000000;1351500,000000;81,596275
2007-09-01;83,379997;89,000000;83,279999;86,610001;1423600,000000;85,145226
2007-10-01;87,370003;87,370003;78,769997;84,260002;1284500,000000;82,834969
2007-11-03;83,440002;85,769997;80,050003;81,180000;1203400,000000;79,807060
2008-00-02;81,000000;83,800003;74,860001;78,199997;2011800,000000;76,877449
2008-01-01;78,220001;80,080002;74,300003;76,239998;1672600,000000;74,950600
2008-02-03;75,739998;77,070000;69,589996;75,779999;2480300,000000;74,498383
2008-03-01;76,209999;79,500000;76,129997;77,620003;1106300,000000;76,307266
2008-04-01;77,930000;80,080002;76,279999;79,500000;939900,000000;78,155472
2008-05-02;79,379997;80,989998;75,620003;76,839996;834900,000000;75,714722
2008-06-01;76,440002;89,860001;76,269997;88,900002;1835700,000000;87,598114
2008-07-01;88,730003;90,870003;84,839996;85,900002;1381000,000000;84,642052
2008-08-02;85,959999;87,669998;78,349998;81,360001;1426100,000000;80,168533
2008-09-01;81,540001;81,540001;58,830002;71,410004;1601500,000000;70,364250
2008-10-03;71,360001;74,209999;57,139999;65,349998;1102100,000000;64,392990
2008-11-01;65,070000;71,440002;60,790001;71,050003;840600,000000;70,009521
2009-00-02;70,529999;72,919998;67,629997;70,730003;912400,000000;69,694206
2009-01-02;69,809998;75,000000;62,790001;63,070000;1412300,000000;62,146378
2009-02-02;61,740002;68,349998;58,770000;66,349998;1956600,000000;65,378342
2009-03-01;64,529999;67,820000;62,419998;65,489998;1308100,000000;64,530937
2009-04-01;65,360001;67,699997;63,669998;67,629997;819600,000000;66,639595
2009-05-01;68,540001;73,379997;67,849998;72,760002;897600,000000;71,694473
2009-06-01;72,739998;80,550003;68,690002;78,750000;901900,000000;77,596756
2009-07-03;79,160004;79,900002;74,779999;78,279999;806600,000000;77,133636
2009-08-01;77,970001;84,000000;76,790001;81,360001;569800,000000;80,168533
2009-09-01;81,209999;81,410004;73,000000;73,379997;772900,000000;72,305389
2009-10-02;74,139999;79,800003;73,139999;78,410004;610600,000000;77,261734
2009-11-01;78,419998;82,550003;77,820000;81,830002;461200,000000;80,631653
2010-00-04;82,470001;86,349998;81,940002;83,279999;667200,000000;82,060417
2010-01-01;83,309998;86,000000;80,080002;85,400002;838700,000000;84,149368
2010-02-01;85,959999;93,529999;85,879997;90,940002;625100,000000;89,608246
2010-03-01;91,599998;92,949997;88,830002;91,230003;811700,000000;89,893997
2010-04-03;92,169998;92,650002;70,000000;81,230003;1555200,000000;80,040443
2010-05-01;79,900002;84,519997;77,000000;77,519997;750500,000000;76,384766
2010-06-01;77,389999;82,720001;74,500000;81,029999;1072300,000000;79,843361
2010-07-02;81,809998;84,809998;77,790001;78,580002;633300,000000;77,429245
2010-08-01;79,500000;87,470001;79,500000;86,239998;664800,000000;85,483063
2010-09-01;86,820000;90,250000;85,199997;89,300003;607500,000000;88,516212
2010-10-01;89,760002;90,099998;86,489998;87,400002;604300,000000;86,632881
2010-11-01;88,419998;95,000000;88,220001;93,419998;366000,000000;92,600044
2011-00-03;93,910004;97,419998;92,820000;93,720001;500100,000000;92,897415
2011-01-01;94,410004;95,970001;91,919998;94,680000;602900,000000;93,848984
2011-02-01;94,900002;100,220001;92,879997;100,160004;365800,000000;99,280891
2011-03-01;100,860001;109,610001;100,150002;107,449997;467300,000000;106,506897
2011-04-02;107,660004;110,019997;104,790001;109,360001;491600,000000;108,400139
2011-05-01;109,239998;109,470001;101,379997;106,660004;573700,000000;105,723839
2011-06-01;106,190002;110,000000;101,830002;103,900002;590000,000000;102,988060
2011-07-01;105,610001;105,910004;83,959999;96,209999;1197700,000000;95,365555
2011-08-01;96,029999;99,540001;90,529999;93,349998;824500,000000;92,530655
2011-09-03;92,339996;100,550003;87,669998;98,230003;586000,000000;97,367828
2011-10-01;96,849998;102,360001;92,150002;102,199997;628600,000000;101,302979
2011-11-01;102,300003;104,900002;98,599998;104,349998;382400,000000;103,448174
2012-00-03;105,529999;116,760002;104,260002;116,000000;739100,000000;114,997490
2012-01-01;117,360001;122,449997;115,639999;119,059998;769600,000000;118,031044
2012-02-01;118,860001;124,660004;115,830002;123,300003;405500,000000;122,261635
2012-03-02;123,620003;126,650002;116,430000;125,389999;507200,000000;124,334030
2012-04-01;125,059998;126,900002;114,970001;123,209999;739500,000000;122,172386
2012-05-01;121,010002;130,130005;118,290001;129,960007;587100,000000;129,055176
2012-06-02;130,410004;138,750000;127,440002;133,809998;650800,000000;132,878357
2012-07-01;134,649994;136,699997;129,429993;136,380005;430800,000000;135,430466
2012-08-04;136,740005;145,229996;135,779999;142,589996;473600,000000;141,930618
2012-09-01;143,199997;148,539993;131,550003;131,869995;725900,000000;131,260193
2012-10-01;132,000000;140,259995;125,629997;138,750000;639800,000000;138,108383
2012-11-03;140,229996;141,869995;134,210007;137,220001;334100,000000;136,685471
2013-00-02;140,309998;147,369995;139,470001;145,580002;410900,000000;145,012909
2013-01-01;146,410004;148,630005;143,149994;147,789993;465100,000000;147,214294
2013-02-01;146,490005;160,190002;146,449997;159,929993;446500,000000;159,307007
2013-03-01;160,509995;177,070007;157,179993;172,309998;763400,000000;171,638779
2013-04-01;172,559998;186,979996;170,809998;179,500000;703300,000000;178,800781
2013-05-03;179,559998;180,300003;164,139999;173,880005;905000,000000;173,274780
2013-06-01;178,130005;199,199997;177,210007;197,830002;802100,000000;197,141403
2013-07-01;200,050003;201,470001;187,050003;193,740005;639800,000000;193,065643
2013-08-03;197,460007;212,500000;195,500000;209,600006;705900,000000;208,870438
2013-09-01;211,220001;213,779999;191,289993;205,330002;1354200,000000;204,615295
2013-10-01;206,210007;225,100006;197,440002;224,160004;905800,000000;223,379761
2013-11-02;223,529999;228,110001;212,570007;227,059998;716700,000000;226,269669
2014-00-02;225,729996;254,110001;222,289993;245,910004;1239400,000000;245,054062
2014-01-03;247,000000;275,399994;232,929993;264,420013;1605700,000000;263,499634
2014-02-03;259,059998;270,600006;228,690002;236,399994;2885300,000000;235,577148
2014-03-01;238,710007;245,419998;207,479996;230,250000;3712500,000000;229,448563
2014-04-01;229,860001;242,279999;220,039993;239,589996;1326200,000000;238,756042
2014-05-02;240,009995;259,869995;236,250000;257,029999;1077400,000000;256,529968
2014-06-01;258,890015;266,429993;242,360001;250,830002;1544900,000000;250,342026
2014-07-01;249,389999;276,709991;247,350006;276,549988;988500,000000;276,011963
2014-08-02;278,019989;280,070007;263,640015;273,630005;1046300,000000;273,151978
2014-09-01;272,450012;302,980011;247,860001;296,619995;1924900,000000;296,101807
2014-10-03;297,239990;307,160004;286,109985;303,899994;1213800,000000;303,369080
2014-11-01;302,649994;319,140015;292,040009;303,350006;1547800,000000;302,820038
2015-00-02;306,390015;329,200012;298,040009;321,649994;1622600,000000;321,088074
2015-01-02;323,649994;341,489990;305,010010;337,470001;1459000,000000;336,880432
2015-02-02;337,230011;374,970001;333,779999;343,429993;2125700,000000;342,830017
2015-03-01;342,679993;368,250000;330,600006;333,660004;2223900,000000;333,077087
2015-04-01;338,760010;367,839996;336,809998;365,029999;1697400,000000;364,392273
2015-05-01;367,000000;385,019989;357,799988;368,970001;1774900,000000;368,381165
2015-06-01;374,040009;400,790009;361,890015;382,529999;1735200,000000;381,919525
2015-07-03;383,399994;390,049988;284,160004;341,989990;2237400,000000;341,444214
2015-08-01;333,950012;366,559998;285,529999;303,329987;3811100,000000;302,847748
2015-09-01;303,209991;336,890015;292,549988;325,459991;3640300,000000;324,942596
2015-10-02;326,820007;342,890015;305,790009;334,369995;1781500,000000;333,838409
2015-11-01;336,269989;343,869995;314,529999;338,329987;1573000,000000;337,824036
2016-00-04;331,149994;331,779999;259,059998;267,049988;3390900,000000;266,650635
2016-01-01;264,829987;271,769989;240,029999;254,089996;2552100,000000;253,710022
2016-02-01;256,589996;272,070007;241,850006;260,809998;2319500,000000;260,571503
2016-03-01;260,369995;289,709991;257,579987;267,950012;2639200,000000;267,704987
2016-04-02;268,690002;281,149994;248,899994;279,769989;1613900,000000;279,514160
2016-05-01;278,950012;286,809998;240,300003;257,339996;2067900,000000;257,265778
2016-06-01;257,589996;289,769989;256,529999;289,440002;1369300,000000;289,356506
2016-07-01;289,869995;299,489990;278,899994;280,890015;1549600,000000;280,808990
2016-08-01;280,619995;301,799988;276,630005;289,459991;1473200,000000;289,459991
2016-09-03;289,510010;292,570007;256,450012;256,679993;1584800,000000;256,679993
2016-10-01;257,290009;294,359985;246,710007;274,070007;2462000,000000;274,070007
2016-11-01;275,309998;275,410004;267,609985;274,339996;1697500,000000;274,339996
