"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2000-06-14;60,781250;61,906250;56,812500;56,812500;0,000000;45,722111
2000-07-01;58,250000;64,250000;57,812500;63,906250;1500,000000;51,431084
2000-08-01;64,500000;64,718750;60,250000;61,250000;300,000000;49,293362
2000-09-02;60,218750;61,000000;56,218750;57,937500;200,000000;46,667904
2000-10-01;60,187500;60,500000;54,500000;54,500000;5200,000000;43,899044
2000-11-01;54,500000;60,625000;53,781250;56,500000;2400,000000;45,678833
2001-00-02;55,781250;58,000000;53,406250;57,150002;4200,000000;46,204342
2001-01-01;57,400002;57,400002;52,799999;53,750000;1900,000000;43,455524
2001-02-01;52,650002;54,980000;44,849998;47,580002;3100,000000;38,525719
2001-03-02;47,700001;54,950001;45,250000;54,250000;3000,000000;43,926441
2001-04-01;53,849998;58,450001;53,349998;55,200001;4100,000000;44,695663
2001-05-01;55,150002;56,049999;51,799999;53,200001;1800,000000;43,093258
2001-06-02;52,900002;53,340000;49,910000;51,099998;2300,000000;41,392208
2001-07-01;51,049999;51,099998;48,200001;48,740002;3300,000000;39,480556
2001-08-04;48,349998;49,480000;37,400002;42,680000;7600,000000;34,571812
2001-09-01;42,349998;46,389999;41,790001;43,799999;5200,000000;35,587433
2001-10-01;44,040001;49,630001;44,040001;48,459999;6800,000000;39,373672
2001-11-03;47,849998;50,880001;47,599998;50,509998;9400,000000;41,094624
2002-00-02;50,099998;51,099998;45,040001;47,820000;13300,000000;38,906055
2002-01-01;47,700001;49,240002;45,340000;48,540001;9300,000000;39,491844
2002-02-01;48,750000;52,189999;48,549999;49,740002;44200,000000;40,531967
2002-03-01;49,200001;50,150002;44,700001;45,849998;12800,000000;37,362095
2002-04-01;45,750000;47,700001;44,610001;46,250000;16500,000000;37,688046
2002-05-03;45,549999;45,700001;41,000000;43,049999;12600,000000;35,109566
2002-06-01;43,250000;43,250000;34,250000;40,450001;14400,000000;32,989128
2002-07-01;40,599998;42,029999;36,900002;39,750000;13200,000000;32,418240
2002-08-03;39,000000;40,250000;34,009998;34,860001;12300,000000;28,511646
2002-09-01;35,299999;37,599998;31,740000;36,580002;20700,000000;29,918417
2002-10-01;36,349998;39,680000;36,000000;39,500000;33500,000000;32,306656
2002-11-02;40,000000;40,259998;36,540001;37,430000;34100,000000;30,719414
2003-00-02;37,650002;39,200001;34,750000;35,330002;32200,000000;28,995911
2003-01-03;35,349998;35,860001;33,220001;34,740002;26000,000000;28,511688
2003-02-03;35,200001;37,340000;32,310001;35,119999;31200,000000;28,913727
2003-03-01;35,200001;38,750000;34,990002;38,639999;25600,000000;31,811686
2003-04-01;38,000000;40,150002;37,759998;40,150002;24600,000000;33,054844
2003-05-02;40,250000;42,590000;40,200001;40,509998;25200,000000;33,387691
2003-06-01;40,400002;42,650002;39,950001;42,139999;26200,000000;34,731110
