"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-08-17;25,370001;25,730000;24,410000;25,219999;2200,000000;24,675690
2015-09-01;25,150000;26,770000;24,620001;24,959999;1500,000000;24,421301
2015-10-02;24,959999;25,100000;23,850000;25,100000;100,000000;24,558281
2015-11-01;25,100000;25,368999;23,790001;24,219999;1500,000000;23,705996
2016-00-04;23,530001;23,530001;19,070000;21,000000;2900,000000;20,554333
2016-01-01;21,000000;21,379999;20,230000;21,121000;500,000000;20,672764
2016-02-01;21,806000;22,629999;21,806000;22,200001;0,000000;21,728867
2016-03-01;21,670000;24,500000;21,670000;24,224001;3600,000000;23,709911
2016-04-02;23,950001;24,480000;23,299999;23,299999;3000,000000;22,805519
2016-05-01;23,389999;23,969999;22,719999;23,139999;1200,000000;23,139999
2016-06-01;23,077999;23,530001;21,961000;22,200001;5200,000000;22,200001
2016-07-01;22,170000;22,850000;21,339001;21,579000;3400,000000;21,579000
2016-08-01;21,480000;22,150000;19,830000;20,639999;2000,000000;20,639999
2016-09-03;19,930000;22,320000;19,813000;21,809999;5500,000000;21,809999
2016-10-01;22,000000;25,076000;21,830000;25,032000;4100,000000;25,032000
2016-11-01;25,459999;25,837000;25,341999;25,469999;7400,000000;25,469999
