"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2007-11-27;25,510000;26,000000;25,350000;25,450001;11600,000000;16,416185
2008-00-02;25,570000;25,660000;22,570000;23,980000;15300,000000;15,467979
2008-01-01;23,750000;25,889999;23,290001;24,180000;4800,000000;15,596988
2008-02-03;24,139999;25,040001;22,799999;24,410000;5300,000000;15,779327
2008-03-01;25,240000;26,940001;24,250000;26,709999;7300,000000;17,266113
2008-04-01;26,600000;26,600000;24,940001;25,420000;4700,000000;16,432220
2008-05-02;25,230000;25,540001;23,440001;23,610001;14300,000000;15,412707
2008-06-01;23,440001;25,350000;22,110001;23,680000;21100,000000;15,458404
2008-07-01;23,770000;25,000000;23,360001;24,010000;49200,000000;15,673829
2008-08-02;24,469999;26,400000;21,490000;22,610001;28100,000000;14,797398
2008-09-01;22,350000;22,750000;16,090000;19,139999;44000,000000;12,526412
2008-10-03;19,219999;20,170000;13,450000;17,260000;97400,000000;11,296023
2008-11-01;17,030001;19,490000;16,690001;17,650000;71000,000000;11,599288
2009-00-02;17,770000;18,150000;16,410000;16,920000;92800,000000;11,119544
2009-01-02;16,500000;17,590000;15,630000;15,820000;84000,000000;10,396643
2009-02-02;15,590000;17,280001;14,110000;17,059999;105100,000000;11,273624
2009-03-01;16,719999;17,820000;16,270000;17,540001;139700,000000;11,590820
2009-04-01;17,520000;19,500000;17,110001;18,290001;44800,000000;12,086436
2009-05-01;18,900000;19,490000;17,750000;18,549999;49700,000000;12,317787
2009-06-01;18,870001;19,620001;17,760000;19,469999;58000,000000;12,928697
2009-07-03;19,920000;20,000000;19,420000;19,700001;55800,000000;13,081425
2009-08-01;19,620001;20,280001;19,260000;20,070000;46400,000000;13,370267
2009-09-01;19,900000;21,570000;19,430000;19,930000;56800,000000;13,277002
2009-10-02;20,240000;21,490000;19,870001;21,049999;56400,000000;14,023126
2009-11-01;21,080000;22,870001;21,010000;21,510000;71500,000000;14,384584
2010-00-04;21,940001;21,940001;20,120001;20,620001;88200,000000;13,789407
2010-01-01;20,660000;21,410000;20,030001;21,360001;59400,000000;14,284273
2010-02-01;21,389999;21,780001;21,330000;21,639999;59300,000000;14,506854
2010-03-01;21,660000;21,870001;21,350000;21,549999;64500,000000;14,446520
2010-04-03;21,610001;21,799999;10,000000;20,150000;77200,000000;13,507999
2010-05-01;20,040001;21,219999;19,219999;19,299999;78100,000000;12,976646
2010-06-01;19,250000;20,680000;18,889999;20,559999;64500,000000;13,823827
2010-07-02;20,629999;20,790001;20,280001;20,480000;62200,000000;13,770038
2010-08-01;20,600000;21,250000;20,600000;21,180000;67300,000000;14,284741
2010-09-01;21,190001;21,520000;21,110001;21,389999;32100,000000;14,426373
2010-10-01;21,500000;21,850000;21,340000;21,590000;40700,000000;14,561263
2010-11-01;21,860001;22,209999;20,770000;20,889999;112000,000000;15,087320
2011-00-03;20,889999;21,240000;20,860001;21,020000;57300,000000;15,181211
2011-01-01;21,139999;21,430000;20,820000;21,240000;38400,000000;15,340099
2011-02-01;21,270000;21,360001;20,170000;21,129999;45300,000000;15,280750
2011-03-01;21,129999;21,530001;20,940001;21,459999;29600,000000;15,519399
2011-04-02;21,459999;21,639999;21,209999;21,590000;22800,000000;15,613413
2011-05-01;21,360001;21,570000;20,490000;21,110001;42300,000000;15,333533
2011-06-01;20,690001;21,450001;20,690001;20,950001;26200,000000;15,217316
2011-07-01;21,200001;21,299999;18,020000;19,510000;31900,000000;14,171351
2011-08-01;19,530001;19,750000;18,240000;18,740000;36600,000000;13,661717
2011-09-03;18,709999;20,870001;17,750000;20,520000;32100,000000;14,959362
2011-10-01;20,270000;21,080000;19,969999;20,950001;35500,000000;15,272839
2011-11-01;20,809999;21,270000;17,549999;19,620001;46300,000000;15,754778
2012-00-03;19,840000;20,290001;19,370001;20,000000;130000,000000;16,059916
2012-01-01;20,100000;20,549999;20,020000;20,350000;93500,000000;16,340965
2012-02-01;20,379999;20,820000;20,120001;20,540001;120200,000000;16,573299
2012-03-02;20,540001;20,790001;20,010000;20,670000;116700,000000;16,678192
2012-04-01;20,629999;20,770000;19,400000;19,809999;245500,000000;15,984276
2012-05-01;19,580000;20,490000;19,010000;20,290001;131200,000000;16,473154
2012-06-02;20,379999;20,650000;20,070000;20,590000;180400,000000;16,716719
2012-07-01;20,680000;21,000000;20,389999;20,690001;135100,000000;16,797907
2012-08-04;20,750000;21,350000;20,510000;20,820000;202300,000000;16,975758
2012-09-01;20,870001;21,200001;20,510000;20,660000;165200,000000;16,845301
2012-10-01;20,700001;21,000000;19,690001;20,290001;148900,000000;16,543619
2012-11-03;20,250000;20,350000;19,350000;19,650000;169900,000000;16,467110
2013-00-02;19,820000;20,129999;19,459999;20,059999;268700,000000;16,810698
2013-01-01;20,110001;20,320000;19,809999;20,139999;139000,000000;16,877739
2013-02-01;19,940001;20,520000;19,850000;20,520000;116900,000000;17,229078
2013-03-01;20,510000;20,910000;20,080000;20,809999;108400,000000;17,472569
2013-04-01;20,840000;21,049999;20,700001;20,790001;94200,000000;17,455778
2013-05-03;20,750000;21,070000;19,760000;20,139999;139400,000000;17,162485
2013-06-01;20,190001;20,520000;20,150000;20,430000;55700,000000;17,409611
2013-07-01;20,520000;20,690001;20,110001;20,139999;57200,000000;17,162485
2013-08-03;20,309999;20,700001;19,910000;20,040001;60600,000000;17,363153
2013-09-01;20,110001;20,799999;19,670000;20,719999;45800,000000;17,952320
2013-10-01;20,719999;21,049999;20,680000;21,020000;65200,000000;18,212248
2013-11-02;21,010000;21,190001;20,430000;20,750000;87400,000000;18,592442
2014-00-02;20,700001;20,980000;20,160000;20,270000;177500,000000;18,162352
2014-01-03;20,230000;21,200001;19,770000;21,150000;99600,000000;18,950850
2014-02-03;21,280001;21,410000;20,840000;21,090000;123800,000000;18,919222
2014-03-01;21,150000;21,389999;20,629999;21,360001;144500,000000;19,161432
2014-04-01;21,420000;22,750000;21,270000;21,750000;131800,000000;19,511290
2014-05-02;21,700001;21,870001;21,200001;21,389999;130500,000000;19,566381
2014-06-01;21,450001;21,750000;21,290001;21,290001;187000,000000;19,474909
2014-07-01;21,320000;21,900000;21,000000;21,879999;292600,000000;20,014606
2014-08-02;21,879999;22,000000;21,030001;21,180000;136700,000000;19,661446
2014-09-01;21,180000;21,250000;19,500000;20,770000;204800,000000;19,280842
2014-10-03;20,780001;20,910000;20,610001;20,700001;147200,000000;19,215860
2014-11-01;20,680000;21,000000;19,889999;20,730000;129300,000000;19,486422
2015-00-02;20,680000;20,820000;20,080000;20,410000;167700,000000;19,185617
2015-01-02;20,379999;20,980000;20,309999;20,950001;120900,000000;19,693224
2015-02-02;20,950001;21,309999;20,500000;21,000000;281000,000000;19,771322
2015-03-01;20,930000;21,440001;20,770000;21,180000;99100,000000;19,940792
2015-04-01;21,230000;21,570000;21,139999;21,400000;299800,000000;20,147919
2015-05-01;21,510000;21,719999;20,930000;21,020000;102700,000000;20,071600
2015-06-01;21,150000;21,840000;20,770000;21,600000;108900,000000;20,625431
2015-07-03;21,559999;21,700001;12,710000;20,450001;233200,000000;19,527317
2015-08-01;20,290001;21,129999;19,719999;20,180000;135800,000000;19,523710
2015-09-01;20,250000;21,170000;19,980000;21,090000;107300,000000;20,404114
2015-10-02;21,100000;21,360001;20,910000;21,209999;145900,000000;20,520210
2015-11-01;21,180000;21,320000;20,430000;20,510000;231200,000000;20,287615
2016-00-04;20,330000;20,570000;18,719999;19,510000;520000,000000;19,298458
2016-01-01;19,510000;20,040001;18,850000;19,889999;115600,000000;19,674337
2016-02-01;19,950001;20,320000;19,930000;20,250000;96000,000000;20,073187
2016-03-01;20,120001;20,530001;20,080000;20,299999;126900,000000;20,122749
2016-04-02;20,309999;20,620001;20,100000;20,570000;94700,000000;20,390392
2016-05-01;20,650000;20,850000;20,000000;20,719999;111300,000000;20,641792
2016-06-01;20,690001;20,950001;20,670000;20,870001;78100,000000;20,791227
2016-07-01;20,930000;21,190001;20,719999;21,090000;53700,000000;21,010397
2016-08-01;21,150000;21,309999;20,590000;21,040001;52600,000000;21,040001
2016-09-03;21,049999;21,270000;20,809999;21,090000;53500,000000;21,090000
2016-10-01;21,090000;21,639999;20,709999;21,559999;64700,000000;21,559999
2016-11-01;21,570000;21,690001;21,430000;21,690001;133800,000000;21,690001
