"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2007-09;25,719999;25,719999;25,650000;25,670000;5000,000000;21,143049
2007-10;25,740000;26,900000;25,469999;26,549999;5400,000000;21,867859
2007-11;26,920000;26,920000;23,799999;24,930000;3200,000000;20,533550
2007-12;25,070000;25,500000;23,320000;24,370001;15000,000000;20,102007
2008-01;24,490000;24,980000;20,219999;22,030001;7500,000000;18,171818
2008-02;23,230000;24,559999;21,400000;22,780001;6300,000000;18,790468
2008-03;22,820000;24,559999;21,290001;22,650000;7600,000000;18,710062
2008-04;22,900000;25,250000;22,480000;23,450001;4500,000000;19,370903
2008-05;23,549999;26,330000;23,410000;24,010000;7700,000000;19,833492
2008-06;23,860001;25,900000;21,139999;21,680000;7200,000000;18,103010
2008-07;21,040001;21,629999;19,760000;20,570000;5600,000000;17,176149
2008-08;20,639999;20,639999;19,200001;19,780001;6200,000000;16,516493
2008-09;19,840000;19,840000;15,760000;17,250000;7800,000000;14,403917
2008-10;18,450001;18,450001;8,710000;14,080000;26200,000000;11,756936
2008-11;14,260000;15,010000;11,760000;13,020000;12700,000000;10,871826
2008-12;12,700000;14,300000;12,050000;14,070000;19200,000000;11,808242
2009-01;14,540000;14,540000;12,500000;12,810000;5000,000000;10,750788
2009-02;12,580000;13,350000;11,290000;11,310000;10600,000000;9,491914
2009-03;11,270000;13,450000;10,630000;12,540000;5100,000000;10,524190
2009-04;12,570000;15,070000;12,570000;14,750000;5200,000000;12,378932
2009-05;14,810000;17,120001;14,530000;17,100000;5900,000000;14,351169
2009-06;17,299999;18,400000;16,000000;17,530001;15600,000000;14,780395
2009-07;17,959999;19,760000;16,660000;19,100000;7500,000000;16,104137
2009-08;19,809999;21,240000;19,219999;20,469999;13100,000000;17,309498
2009-09;20,350000;23,010000;19,629999;21,350000;17800,000000;18,071783
2009-10;21,340000;23,719999;20,290001;20,670000;15800,000000;17,496195
2009-11;20,870001;22,809999;19,750000;21,340000;17000,000000;18,063318
2009-12;21,740000;22,400000;20,139999;21,040001;14100,000000;18,281040
