"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2005-05-23;15,130000;15,290000;14,450000;14,620000;29700,000000;14,348524
2005-06-01;14,510000;15,940000;14,460000;15,860000;11000,000000;15,565498
2005-07-01;15,900000;15,920000;15,000000;15,280000;6000,000000;14,996268
2005-08-01;15,360000;16,110001;15,250000;16,059999;16600,000000;15,761785
2005-09-03;16,080000;16,270000;14,570000;15,120000;23800,000000;14,839239
2005-10-01;15,060000;16,240000;14,990000;15,850000;12200,000000;15,555685
2005-11-01;16,020000;16,200001;15,410000;15,630000;16600,000000;15,339769
2006-00-03;15,620000;17,049999;14,700000;16,820000;36300,000000;16,507671
2006-01-01;16,830000;16,980000;16,219999;16,629999;32100,000000;16,321199
2006-02-01;16,860001;18,090000;16,709999;17,959999;51100,000000;17,626503
2006-03-03;18,070000;18,200001;17,170000;17,330000;25600,000000;17,008202
2006-04-01;17,379999;17,730000;15,510000;15,830000;32000,000000;15,536056
2006-05-01;15,900000;16,389999;14,480000;15,430000;18500,000000;15,143483
2006-06-03;15,520000;15,540000;13,380000;13,910000;14900,000000;13,651708
2006-07-01;13,790000;15,390000;13,590000;15,230000;8000,000000;14,947197
2006-08-01;15,220000;16,180000;14,550000;15,950000;25000,000000;15,653828
2006-09-02;15,750000;17,070000;15,570000;16,750000;45600,000000;16,438972
2006-10-01;16,500000;17,980000;16,250000;17,469999;34900,000000;17,145601
2006-11-01;17,350000;17,959999;17,000000;17,530001;21400,000000;17,204489
2007-00-03;17,740000;19,299999;17,469999;17,840000;65400,000000;17,508732
2007-01-01;17,940001;18,850000;17,700001;18,049999;18400,000000;17,714832
2007-02-01;17,650000;18,309999;17,299999;18,010000;20500,000000;17,675575
2007-03-02;18,030001;19,070000;16,900000;18,660000;19200,000000;18,313505
2007-04-01;18,610001;19,730000;18,570000;19,680000;11900,000000;19,314566
2007-05-01;19,860001;20,120001;19,320000;19,680000;12100,000000;19,314566
2007-06-02;19,820000;21,670000;19,360001;19,360001;23200,000000;19,000509
2007-07-01;19,240000;19,719999;17,570000;19,309999;26200,000000;18,951435
2007-08-04;19,350000;20,090000;18,750000;19,959999;13300,000000;19,589365
2007-09-01;20,059999;21,270000;19,870001;20,760000;6900,000000;20,374512
2007-10-01;20,620001;20,650000;17,420000;18,030001;11600,000000;17,695206
2007-11-03;17,959999;18,830000;17,410000;18,040001;11000,000000;17,705019
2008-00-02;17,980000;17,980000;13,740000;16,160000;23100,000000;15,859928
2008-01-01;16,180000;16,320000;15,110000;15,190000;7800,000000;14,907939
2008-02-03;14,990000;15,430000;13,450000;14,610000;7000,000000;14,338709
2008-03-01;14,800000;16,469999;14,570000;16,049999;6900,000000;15,751969
2008-04-01;16,049999;17,450001;16,030001;17,100000;10700,000000;16,782475
2008-05-02;17,209999;17,450001;15,350000;15,360000;5600,000000;15,074782
2008-06-01;15,080000;16,629999;14,260000;15,040000;4300,000000;14,760725
2008-07-01;14,980000;16,500000;14,920000;15,980000;4300,000000;15,683270
2008-08-02;16,190001;16,190001;12,780000;13,390000;8400,000000;13,141364
2008-09-01;13,240000;13,240000;9,480000;11,760000;7600,000000;11,541631
2008-10-03;11,760000;12,000000;8,710000;10,430000;3200,000000;10,236327
2008-11-01;10,300000;11,230000;9,410000;11,120000;3600,000000;10,913515
2009-00-02;11,120000;11,700000;10,200000;10,460000;3800,000000;10,265770
2009-01-02;10,310000;11,290000;8,140000;9,920000;3400,000000;9,735798
2009-02-02;9,540000;11,540000;9,410000;11,150000;27300,000000;10,942957
2009-03-01;11,000000;13,930000;10,790000;13,600000;60600,000000;13,347465
2009-04-01;13,610000;14,130000;12,660000;14,130000;44100,000000;13,867622
2009-05-01;14,410000;15,230000;14,110000;14,940000;14900,000000;14,662581
2009-06-01;15,020000;16,250000;13,910000;15,920000;30900,000000;15,624385
2009-07-03;15,980000;16,209999;15,140000;15,770000;19700,000000;15,477170
2009-08-01;15,680000;17,280001;15,250000;17,110001;9900,000000;16,792288
2009-09-01;17,040001;17,830000;16,299999;16,330000;15300,000000;16,026772
2009-10-02;16,309999;17,670000;16,059999;16,650000;15300,000000;16,340828
2009-11-01;16,900000;18,340000;16,900000;18,139999;7700,000000;17,803162
2010-00-04;18,190001;18,780001;17,049999;17,110001;14700,000000;16,792288
2010-01-01;17,270000;19,049999;17,049999;18,870001;31100,000000;18,519608
2010-02-01;18,930000;21,110001;18,920000;20,580000;48700,000000;20,197853
2010-03-01;20,809999;22,129999;20,459999;21,120001;61300,000000;20,727827
2010-04-03;21,219999;21,559999;15,890000;19,959999;65700,000000;19,589365
2010-05-01;19,670000;20,430000;18,250000;18,299999;28500,000000;17,960190
2010-06-01;18,260000;21,370001;17,860001;20,350000;84600,000000;19,972124
2010-07-02;20,629999;20,910000;18,840000;19,870001;85800,000000;19,501038
2010-08-01;20,170000;23,600000;20,170000;23,000000;49600,000000;22,572918
2010-09-01;23,200001;24,030001;21,830000;23,870001;60200,000000;23,426764
2010-10-01;24,180000;25,139999;23,500000;24,620001;60800,000000;24,162836
2010-11-01;24,889999;26,750000;24,889999;26,459999;93100,000000;26,074429
2011-00-03;26,600000;28,230000;25,590000;26,340000;210600,000000;25,956179
2011-01-01;26,520000;29,500000;26,490000;28,709999;167000,000000;28,291641
2011-02-01;28,799999;29,059999;26,340000;28,070000;137100,000000;27,660969
2011-03-01;28,250000;29,290001;26,830000;29,209999;74400,000000;28,784355
2011-04-02;29,299999;29,299999;27,379999;28,700001;64500,000000;28,281788
2011-05-01;28,559999;28,830000;25,790001;28,280001;69800,000000;27,867908
2011-06-01;28,400000;29,549999;24,770000;25,190001;87300,000000;24,822935
2011-07-01;25,600000;25,629999;20,040001;22,700001;82400,000000;22,369221
2011-08-01;22,809999;23,500000;20,690001;20,799999;70300,000000;20,496904
2011-09-03;20,600000;25,680000;19,670000;24,980000;61400,000000;24,615995
2011-10-01;24,110001;26,290001;23,270000;25,340000;57700,000000;24,970749
2011-11-01;25,340000;25,790001;23,410000;24,290001;53400,000000;23,936050
2012-00-03;24,770000;27,410000;24,030001;26,760000;39000,000000;26,370058
2012-01-01;26,910000;28,709999;26,820000;27,730000;52500,000000;27,325922
2012-02-01;27,690001;28,950001;26,660000;28,580000;37800,000000;28,163536
2012-03-02;28,510000;28,889999;26,059999;27,690001;52200,000000;27,286507
2012-04-01;27,690001;28,110001;23,840000;24,320000;22300,000000;23,965612
2012-05-01;23,870001;25,170000;22,950001;25,059999;21300,000000;24,694830
2012-06-02;25,040001;25,420000;22,350000;23,469999;49100,000000;23,127998
2012-07-01;23,350000;25,320000;22,860001;24,580000;22600,000000;24,221825
2012-08-04;24,530001;26,530001;24,280001;24,930000;30500,000000;24,566725
2012-09-01;25,000000;25,049999;22,570000;23,070000;21900,000000;22,733828
2012-10-01;23,250000;24,510000;22,500000;24,430000;19200,000000;24,074011
2012-11-03;24,459999;25,620001;23,990000;25,330000;17000,000000;25,019741
2013-00-02;25,930000;27,080000;25,320000;26,209999;9200,000000;25,888962
2013-01-01;26,299999;26,549999;25,400000;26,200001;10000,000000;25,879087
2013-02-01;25,969999;27,370001;25,860001;26,610001;12100,000000;26,284065
2013-03-01;26,610001;26,660000;24,340000;24,920000;12200,000000;24,614763
2013-04-01;24,889999;26,209999;24,500000;26,030001;10500,000000;25,711168
2013-05-03;25,889999;26,620001;25,290001;26,100000;7400,000000;25,875816
2013-06-01;26,360001;29,000000;26,290001;28,600000;6000,000000;28,354342
2013-07-01;28,860001;29,670000;27,940001;28,059999;4200,000000;27,818979
2013-08-03;28,420000;31,240000;28,160000;30,049999;8200,000000;29,892454
2013-09-01;30,110001;31,160000;29,240000;29,469999;6900,000000;29,315495
2013-10-01;29,500000;29,730000;28,879999;29,650000;5500,000000;29,494551
2013-11-02;29,580000;31,590000;28,700001;31,590000;3600,000000;31,424381
2014-00-02;31,440001;32,669998;31,000000;32,099998;7100,000000;31,931705
2014-01-03;31,780001;33,650002;30,760000;33,209999;7500,000000;33,035889
2014-02-03;33,000000;34,709999;32,490002;33,070000;7400,000000;32,896622
2014-03-01;33,630001;34,000000;29,980000;31,129999;4500,000000;30,966791
2014-04-01;31,350000;32,799999;30,010000;32,000000;4000,000000;31,832232
2014-05-02;31,830000;32,869999;31,510000;32,730000;11600,000000;32,558403
2014-06-01;33,080002;33,330002;31,629999;31,680000;5000,000000;31,513910
2014-07-01;31,510000;32,889999;31,000000;32,709999;1800,000000;32,538509
2014-08-02;32,970001;33,770000;32,299999;32,470001;1200,000000;32,299770
2014-09-01;32,279999;33,299999;29,180000;33,299999;4300,000000;33,125416
2014-10-03;33,380001;34,599998;33,279999;34,599998;3400,000000;34,418598
2014-11-01;34,330002;35,500000;33,279999;34,939999;2000,000000;34,756817
2015-00-02;34,980000;34,980000;32,959999;33,009998;4800,000000;32,836933
