"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2012-01-02;25,650000;26,250000;24,180000;24,590000;24900,000000;47,217857
2012-02-01;25,040001;25,280001;21,740000;22,010000;1400,000000;42,263729
2012-03-02;22,290001;22,799999;20,000000;20,900000;4400,000000;40,132298
2012-04-01;20,900000;20,969999;17,500000;19,270000;16400,000000;37,002365
2012-05-01;20,000000;21,459999;18,330000;19,320000;3000,000000;37,252460
2012-06-02;19,400000;20,139999;17,400000;18,750000;2500,000000;36,153397
2012-07-01;18,500000;20,620001;17,840000;20,250000;3600,000000;39,045670
2012-08-04;20,020000;23,340000;19,969999;22,730000;6500,000000;43,827557
2012-09-01;22,780001;23,120001;20,000000;21,889999;8400,000000;42,207886
2012-10-01;21,760000;21,760000;19,280001;20,010000;6300,000000;38,582905
2012-11-03;19,870001;20,240000;18,360001;19,290001;36600,000000;37,394775
2013-00-02;19,889999;20,030001;17,780001;17,840000;9400,000000;34,583862
2013-01-01;17,959999;18,160000;15,890000;16,059999;6800,000000;31,133230
2013-02-01;15,800000;16,420000;15,350000;16,040001;13100,000000;31,094461
2013-03-01;16,200001;16,200001;11,740000;12,690000;45900,000000;24,600292
2013-04-01;12,360000;13,130000;11,060000;12,260000;47000,000000;23,766714
2013-05-03;12,390000;12,760000;9,140000;10,000000;39700,000000;19,568699
2013-06-01;10,090000;11,610000;9,310000;10,910000;37900,000000;21,349449
2013-07-01;11,010000;12,720000;9,750000;11,680000;46100,000000;22,856241
2013-08-03;11,840000;11,840000;10,400000;10,600000;39500,000000;20,742821
2013-09-01;10,360000;11,400000;9,770000;10,730000;30600,000000;20,997213
2013-10-01;10,600000;10,660000;9,200000;9,410000;36600,000000;18,414145
2013-11-02;9,260000;9,440000;8,670000;9,110000;75000,000000;17,924347
2014-00-02;9,350000;10,390000;9,120000;9,970000;45600,000000;19,616438
2014-01-03;9,960000;11,490000;9,850000;10,980000;36400,000000;21,603659
2014-02-03;11,360000;11,900000;10,000000;10,100000;38800,000000;19,872219
2014-03-01;10,150000;10,820000;10,000000;10,280000;18100,000000;20,226376
2014-04-01;10,250000;10,460000;9,400000;9,590000;28700,000000;18,868771
2014-05-02;9,580000;11,180000;9,420000;11,060000;42800,000000;21,827761
2014-06-01;11,090000;11,680000;10,870000;10,930000;19900,000000;21,571196
2014-07-01;11,090000;11,520000;10,780000;11,210000;16300,000000;22,123796
2014-08-02;11,130000;11,130000;9,050000;9,110000;47100,000000;17,979284
2014-09-01;9,120000;9,300000;7,010000;7,160000;31900,000000;14,130810
2014-10-03;7,290000;8,270000;6,800000;7,600000;69400,000000;14,999184
2014-11-01;7,720000;8,120000;6,900000;7,450000;79000,000000;14,767260
2015-00-02;7,350000;9,470000;7,320000;9,090000;59900,000000;18,018040
2015-01-02;9,020000;9,300000;8,300000;8,770000;30200,000000;17,383741
2015-02-02;8,760000;8,760000;7,030000;7,400000;26300,000000;14,668151
2015-03-01;7,460000;8,620000;7,460000;8,260000;38700,000000;16,372828
2015-04-01;8,290000;8,660000;7,730000;7,910000;35000,000000;15,679063
2015-05-01;7,990000;8,000000;7,090000;7,140000;27500,000000;14,212564
2015-06-01;7,130000;7,210000;5,300000;5,500000;82000,000000;10,948054
2015-07-03;5,470000;6,460000;5,170000;5,580000;55100,000000;11,107298
2015-08-01;5,650000;5,810000;4,990000;5,370000;39300,000000;10,689281
2015-09-01;5,380000;6,660000;5,230000;5,860000;47900,000000;11,664654
2015-10-02;5,800000;5,940000;5,080000;5,320000;41900,000000;10,589754
2015-11-01;5,390000;5,810000;5,220000;5,480000;65000,000000;10,952783
2016-00-04;5,580000;6,110000;5,100000;5,970000;48600,000000;11,932137
2016-01-01;5,990000;8,410000;5,970000;8,260000;126500,000000;16,509121
2016-02-01;8,370000;9,240000;7,850000;8,560000;144000,000000;17,108727
2016-03-01;8,350000;11,160000;8,290000;11,160000;124000,000000;22,305302
2016-04-02;11,380000;11,380000;9,320000;9,640000;439600,000000;19,267305
2016-05-01;9,790000;12,050000;9,560000;11,790000;242200,000000;23,580000
2016-06-01;12,130000;13,080000;11,650000;12,850000;424800,000000;25,700001
2016-07-01;12,960000;13,390000;10,560000;10,610000;264300,000000;21,219999
2016-08-01;10,590000;11,930000;10,440000;11,120000;311900,000000;22,240000
2016-09-03;11,040000;11,150000;9,520000;10,300000;185700,000000;20,600000
2016-10-01;10,510000;21,650000;10,390000;17,360001;291200,000000;17,360001
2016-11-01;17,139999;17,910000;16,840000;17,570000;163800,000000;17,570000
