"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2008-01-22;49,459999;51,770000;49,130001;49,380001;8200,000000;23,234026
2008-02-03;49,380001;50,060001;46,669998;49,389999;2700,000000;23,238729
2008-03-01;49,389999;51,349998;48,400002;50,160000;2900,000000;23,601027
2008-04-01;50,810001;51,720001;49,480000;51,430000;7300,000000;24,198582
2008-05-02;50,849998;52,470001;46,950001;46,950001;8600,000000;22,149771
2008-06-01;46,209999;48,849998;44,299999;48,330002;6100,000000;22,800819
2008-07-01;47,790001;52,000000;47,790001;51,200001;6300,000000;24,154808
2008-08-02;51,509998;52,340000;46,660000;47,080002;7600,000000;22,211102
2008-09-01;48,770000;48,790001;27,000000;36,599998;8700,000000;17,289406
2008-10-03;37,490002;37,570000;12,970000;16,379999;17700,000000;15,475435
2008-11-01;15,570000;17,730000;14,390000;17,730000;5700,000000;16,806133
2009-00-02;17,639999;18,650000;15,020000;15,230000;3600,000000;14,436402
2009-01-02;15,000000;16,230000;13,260000;13,300000;6600,000000;12,606970
2009-02-02;12,930000;15,530000;11,470000;14,840000;8800,000000;14,066725
2009-03-01;14,340000;19,270000;14,330000;18,750000;22700,000000;17,791027
2009-04-01;18,709999;20,240000;18,160000;19,830000;39800,000000;18,815790
2009-05-01;20,690001;21,400000;18,820000;20,100000;27500,000000;19,071981
2009-06-01;20,240000;23,059999;18,610001;22,820000;37400,000000;21,667572
2009-07-03;23,059999;24,889999;22,010000;23,870001;35700,000000;22,664547
2009-08-01;24,209999;26,110001;22,889999;25,340000;45600,000000;24,060310
2009-09-01;24,980000;26,780001;23,180000;23,240000;54200,000000;22,071814
2009-10-02;23,320000;25,270000;22,740000;23,809999;58400,000000;22,613161
2009-11-01;23,910000;26,459999;23,910000;25,900000;27600,000000;24,623383
2010-00-04;26,540001;27,100000;25,000000;25,020000;34000,000000;23,786758
2010-01-01;25,150000;26,549999;24,150000;26,440001;22100,000000;25,136766
2010-02-01;26,610001;29,510000;26,610001;28,770000;49700,000000;27,351921
2010-03-01;28,950001;32,060001;28,750000;30,670000;49200,000000;29,164288
2010-04-03;30,799999;31,420000;15,990000;28,170000;99200,000000;26,787024
2010-05-01;27,959999;28,389999;25,340000;25,440001;31300,000000;24,191050
2010-06-01;25,400000;27,920000;24,440001;27,139999;32800,000000;25,828064
2010-07-02;27,530001;27,680000;24,270000;24,740000;51300,000000;23,544079
2010-08-01;25,190001;28,209999;25,139999;27,820000;35400,000000;26,475193
2010-09-01;28,049999;29,629999;27,410000;29,090000;43400,000000;27,704557
2010-10-01;29,240000;30,610001;28,730000;30,200001;19900,000000;28,761694
2010-11-01;30,620001;33,029999;30,620001;32,490002;28800,000000;31,017986
2011-00-03;32,799999;33,320000;31,850000;32,389999;35100,000000;30,922514
2011-01-01;32,549999;34,910000;32,529999;34,180000;19900,000000;32,631416
2011-02-01;34,180000;34,919998;32,259998;34,830002;28700,000000;33,251968
2011-03-01;35,009998;38,000000;33,580002;35,500000;39600,000000;33,907101
2011-04-02;35,540001;35,540001;33,110001;34,689999;31800,000000;33,133442
2011-05-01;34,450001;34,470001;31,850000;34,430000;24500,000000;32,885113
2011-06-01;34,439999;35,860001;32,680000;33,209999;17200,000000;31,739767
2011-07-01;33,689999;33,689999;26,750000;30,480000;35200,000000;29,130627
2011-08-01;30,990000;31,020000;26,500000;27,200001;41000,000000;25,995836
2011-09-03;26,950001;32,810001;25,430000;31,709999;19800,000000;30,343607
2011-10-01;30,830000;32,169998;28,520000;31,620001;21500,000000;30,257486
2011-11-01;31,459999;32,759998;30,379999;32,070000;18900,000000;30,732361
2012-00-03;33,000000;35,189999;31,950001;34,720001;20900,000000;33,271832
2012-01-01;35,110001;36,779999;35,009998;35,500000;43400,000000;34,019295
2012-02-01;35,919998;37,160000;34,230000;36,340000;16700,000000;34,824261
2012-03-02;36,160000;36,820000;33,860001;35,139999;19100,000000;33,719666
2012-04-01;35,139999;35,689999;31,889999;32,509998;28400,000000;31,195967
2012-05-01;31,709999;33,779999;31,059999;33,740002;24800,000000;32,376255
2012-06-02;33,880001;34,830002;32,430000;33,630001;16900,000000;32,342468
2012-07-01;33,830002;35,730000;32,709999;35,110001;12000,000000;33,765804
2012-08-04;35,110001;37,950001;34,810001;36,549999;41900,000000;35,150673
2012-09-01;36,680000;37,139999;34,990002;35,480000;11400,000000;34,162621
