"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2007-02;71,420006;77,050003;63,370003;66,909996;4900,000000;283,549408
2007-03;62,600002;65,490005;57,940002;62,079998;1100,000000;263,080963
2007-04;62,380001;65,760002;60,850002;62,120003;500,000000;263,250488
2007-05;62,009998;63,299999;53,480000;61,700001;1200,000000;261,470612
2007-06;62,450001;62,709999;48,380001;50,029999;1300,000000;215,231766
2007-07;50,470001;54,500000;40,810001;41,250000;2600,000000;177,459732
2007-08;41,100002;46,760002;36,680000;44,820004;5500,000000;192,818069
2007-09;44,600002;49,579998;40,500000;47,850002;5000,000000;206,911102
2007-10;47,850002;53,470001;42,500000;47,900002;4900,000000;207,127304
2007-11;46,450001;46,480000;33,189999;38,939999;6000,000000;168,382828
2007-12;38,220001;43,380001;32,299999;34,500000;12400,000000;151,198059
2008-01;34,250000;37,700001;25,000000;33,100002;33900,000000;145,062485
2008-02;33,770000;36,560001;29,440001;30,500000;34400,000000;133,667847
2008-03;30,010000;35,650002;25,720001;32,450001;52600,000000;142,899750
2008-04;33,760002;38,650002;32,750000;36,250000;46100,000000;159,633774
2008-05;35,770000;39,180000;34,500000;36,410000;31700,000000;160,338379
2008-06;36,170002;37,750000;27,400000;27,990000;61600,000000;124,605019
2008-07;27,389999;32,070004;22,710001;28,220001;178800,000000;125,628937
2008-08;28,350000;32,329998;26,550001;29,190001;112100,000000;129,947144
2008-09;29,910002;31,940001;23,100000;27,000000;187600,000000;121,395729
2008-10;26,160002;26,360001;7,020000;11,080001;515800,000000;49,817211
2008-11;10,970000;11,590000;3,070000;6,450000;1573800,000000;29,000092
2008-12;5,490000;7,280000;3,480000;6,400000;4280300,000000;28,967087
2009-01;6,490000;6,500000;3,870000;4,250000;4613000,000000;19,235956
2009-02;4,010000;4,630000;2,500000;2,600000;5079900,000000;11,767879
2009-03;2,480000;3,140000;1,780000;2,450000;4657000,000000;11,295021
2009-04;2,310000;4,130000;2,310000;3,820000;7109800,000000;17,611012
2009-05;3,810000;4,270000;3,120000;3,810000;9696400,000000;17,564909
2009-06;3,920000;4,360000;3,160000;3,560000;6364400,000000;16,549847
2009-07;3,590000;4,390000;2,850000;4,280000;5104200,000000;19,897007
2009-08;4,450000;5,920000;4,310000;5,400000;6134100,000000;25,103703
2009-09;5,340000;7,040000;4,600000;5,980000;6463800,000000;28,009315
2009-10;5,930000;6,190000;5,060000;5,310000;6054700,000000;24,871147
2009-11;5,350000;6,390000;5,030000;6,040000;4609000,000000;28,290346
2009-12;6,150000;7,500000;6,030000;6,890000;2928200,000000;32,271603
2010-01;7,040000;7,110000;6,040000;6,140000;3319300,000000;28,758730
2010-02;6,230000;6,940000;5,630000;6,790000;2517000,000000;31,803221
2010-03;6,860000;8,600000;6,840000;8,140000;2256200,000000;38,219273
2010-04;8,250000;49,290001;8,090000;45,669998;4287600,000000;42,886337
2010-05;46,439999;49,000000;16,200001;39,869999;4200000,000000;37,439857
2010-06;38,840000;43,990002;33,630001;35,680000;3184300,000000;33,627293
2010-07;35,669998;43,880001;32,110001;42,279999;2245800,000000;39,847588
2010-08;43,549999;45,200001;37,799999;41,020000;1584200,000000;38,660080
2010-09;41,990002;48,290001;41,959999;44,490002;1654500,000000;42,050491
2010-10;45,000000;51,110001;43,950001;48,000000;1205400,000000;45,368027
2010-11;48,419998;53,430000;43,270000;46,250000;946500,000000;43,713985
2010-12;47,320000;51,180000;45,230000;50,619999;587100,000000;47,844364
2011-01;51,099998;55,090000;49,080002;54,169998;644400,000000;51,199707
2011-02;54,810001;59,119999;53,500000;59,119999;498600,000000;55,878288
2011-03;59,400002;59,400002;52,000000;57,330002;453000,000000;54,308449
2011-04;58,020000;63,790001;54,590000;62,849998;421600,000000;59,537518
2011-05;63,279999;63,889999;58,560001;63,889999;556100,000000;60,522705
2011-06;63,480000;63,610001;54,610001;59,799999;599100,000000;56,723705
2011-07;59,910000;65,199997;57,110001;59,849998;553800,000000;56,771133
2011-08;61,180000;61,209999;39,000000;52,020000;1307400,000000;49,343933
2011-09;51,919998;52,320000;40,139999;40,689999;943200,000000;38,911720
2011-10;40,099998;53,130001;34,599998;51,619999;815000,000000;49,364044
2011-11;48,580002;51,860001;40,959999;47,250000;466500,000000;45,185028
2011-12;46,970001;52,509998;44,470001;51,000000;316700,000000;48,771141
2012-01;52,689999;58,750000;49,660000;57,849998;319500,000000;55,321774
2012-02;58,500000;60,750000;56,320000;56,930000;343100,000000;54,441982
2012-03;57,330002;62,099998;56,290001;61,790001;273800,000000;59,380337
2012-04;61,779999;65,320000;56,619999;64,919998;196800,000000;62,388271
2012-05;64,879997;66,820000;56,430000;59,279999;195500,000000;56,968220
2012-06;57,419998;65,760002;54,900002;65,750000;183100,000000;63,259029
2012-07;66,260002;70,279999;65,000000;68,690002;144400,000000;66,087646
2012-08;69,080002;70,029999;65,959999;68,750000;87000,000000;66,145370
2012-09;68,650002;74,570000;66,379997;67,180000;127200,000000;64,771088
2012-10;67,419998;69,629997;63,970001;66,279999;100800,000000;63,903355
2012-11;66,239998;68,089996;59,779999;65,290001;134200,000000;62,948856
2012-12;65,760002;69,489998;64,570000;69,089996;110700,000000;66,695587
2013-01;71,809998;76,940002;70,370003;74,709999;72500,000000;72,120827
2013-02;75,070000;78,110001;73,970001;76,290001;97500,000000;73,646065
2013-03;75,790001;80,830002;75,239998;80,739998;123300,000000;78,019386
2013-04;80,379997;90,059998;79,959999;90,050003;120100,000000;87,015686
2013-05;89,889999;96,879997;78,540001;78,620003;128400,000000;75,970825
2013-06;78,699997;80,070000;65,209999;74,330002;255900,000000;72,103416
2013-07;75,000000;81,449997;70,349998;74,620003;209500,000000;72,384727
2013-08;75,000000;75,440002;62,340000;64,940002;156900,000000;62,994694
2013-09;65,989998;76,099998;62,880001;68,930000;140200,000000;67,099327
2013-10;69,099998;78,610001;67,180000;73,930000;127800,000000;71,966530
2013-11;74,010002;75,650002;66,879997;67,010002;119900,000000;65,230316
2013-12;66,900002;69,120003;64,430000;67,870003;97900,000000;66,235138
2014-01;67,580002;73,400002;66,889999;72,610001;116700,000000;70,860962
2014-02;72,529999;80,250000;69,910004;79,660004;156700,000000;77,741142
2014-03;78,059998;81,760002;75,559998;79,320000;130600,000000;77,737770
2014-04;79,019997;84,070000;78,500000;84,000000;51400,000000;82,324417
2014-05;84,129997;88,870003;83,099998;88,699997;60300,000000;86,930664
2014-06;88,790001;92,400002;86,070000;90,199997;69800,000000;88,611130
2014-07;89,989998;94,510002;88,790001;89,940002;47100,000000;88,355721
2014-08;89,680000;97,410004;87,790001;96,059998;47400,000000;94,367912
2014-09;95,500000;98,070000;83,419998;84,750000;62800,000000;83,428535
2014-10;84,809998;99,800003;83,470001;99,449997;70300,000000;97,899323
2014-11;99,339996;106,570000;98,309998;104,790001;37400,000000;103,156059
2014-12;104,000000;110,529999;99,019997;105,650002;62700,000000;104,583015
2015-01;107,180000;124,580002;106,370003;117,779999;70200,000000;116,590508
2015-02;118,000000;121,199997;109,209999;111,400002;97300,000000;110,274948
2015-03;111,519997;120,519997;103,620003;113,480003;74200,000000;112,333946
2015-04;113,580002;117,699997;101,370003;102,440002;63400,000000;101,405434
2015-05;102,550003;107,059998;98,279999;101,620003;95400,000000;100,593719
2015-06;102,320000;104,120003;92,349998;92,690002;122300,000000;91,954948
2015-07;92,250000;103,279999;92,050003;101,680000;140400,000000;100,873657
2015-08;102,199997;106,830002;85,580002;89,820000;231300,000000;89,107704
2015-09;88,050003;97,139999;84,169998;92,260002;178200,000000;91,565948
2015-10;92,410004;107,849998;91,260002;103,919998;144700,000000;103,138229
2015-11;104,059998;108,480003;95,440002;103,099998;168300,000000;102,324402
2015-12;104,120003;107,449997;96,040001;104,540001;111700,000000;104,363304
2016-01;102,260002;106,320000;83,680000;95,489998;78900,000000;95,328598
2016-02;94,620003;97,150002;79,930000;93,809998;127000,000000;93,651436
2016-03;94,199997;113,620003;94,199997;113,370003;85400,000000;113,178383
2016-04;112,750000;114,750000;106,889999;109,419998;69700,000000;109,235054
2016-05;109,970001;120,949997;106,989998;114,160004;37600,000000;113,967049
2016-06;113,379997;128,000000;113,010002;128,000000;37500,000000;127,957382
2016-07;128,550003;138,820007;125,660004;137,500000;39700,000000;137,454224
2016-08;137,360001;138,740005;124,209999;128,190002;43200,000000;128,147324
2016-09;127,989998;133,339996;116,260002;123,650002;43100,000000;123,650002
2016-10;123,019997;123,019997;107,400002;111,470001;37900,000000;111,470001
2016-11;110,669998;110,669998;98,620003;106,040001;51300,000000;106,040001
2016-12;104,820000;108,680000;102,000000;107,720001;141100,000000;107,720001
