"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2004-08-29;49,849998;50,330002;49,840000;50,250000;130800,000000;29,014706
2004-09-01;50,349998;53,430000;50,250000;53,099998;21900,000000;30,660315
2004-10-01;53,200001;56,220001;52,889999;55,200001;33100,000000;31,872869
2004-11-01;55,349998;57,599998;55,330002;56,549999;29400,000000;33,388542
2005-00-03;56,750000;56,750000;51,270000;51,709999;49500,000000;30,530884
2005-01-01;51,900002;55,110001;51,700001;53,349998;33300,000000;31,499180
2005-02-01;53,250000;55,529999;51,130001;51,820000;34600,000000;30,961342
2005-03-01;52,590000;54,810001;51,119999;54,810001;33500,000000;32,747803
2005-04-02;55,000000;57,759998;54,169998;56,740002;49100,000000;33,900940
2005-05-01;56,799999;60,090000;56,619999;58,700001;33400,000000;35,459503
2005-06-01;58,709999;63,099998;58,680000;62,889999;49500,000000;37,990601
2005-07-01;63,099998;63,450001;57,419998;60,340000;56900,000000;36,450195
2005-08-01;60,580002;62,090000;58,250000;60,450001;40900,000000;36,937435
2005-09-03;60,560001;60,560001;55,040001;58,709999;73100,000000;35,874226
2005-10-01;58,709999;62,160000;56,869999;61,150002;35200,000000;37,365166
2005-11-01;61,330002;62,450001;59,459999;59,560001;41400,000000;37,374226
2006-00-03;59,939999;64,379997;59,160000;64,050003;391900,000000;40,191723
2006-01-01;64,150002;66,029999;62,290001;65,239998;108100,000000;40,938454
2006-02-01;66,199997;69,709999;64,879997;67,919998;81500,000000;42,868717
2006-03-03;68,150002;68,269997;63,459999;65,610001;59000,000000;41,410725
2006-04-01;65,989998;66,629997;61,689999;63,840000;76800,000000;40,293564
2006-05-01;64,000000;67,050003;63,700001;66,300003;68900,000000;42,292526
2006-06-03;66,720001;69,139999;66,099998;68,879997;111600,000000;43,938293
2006-07-01;68,610001;71,639999;67,339996;71,279999;92000,000000;45,469246
2006-08-01;71,589996;73,589996;70,260002;72,000000;72400,000000;46,363129
2006-09-02;72,129997;76,800003;71,300003;76,339996;77000,000000;49,157791
2006-10-01;76,519997;80,199997;72,690002;79,989998;115900,000000;51,508148
2006-11-01;80,199997;81,150002;74,970001;77,000000;154100,000000;50,559078
2007-00-03;77,339996;83,940002;75,430000;83,760002;155500,000000;54,997772
2007-01-01;83,830002;87,440002;80,080002;81,500000;317900,000000;53,513828
2007-02-01;80,400002;81,800003;76,300003;79,349998;179700,000000;52,403458
2007-03-02;79,300003;81,750000;78,449997;79,250000;116500,000000;52,337418
2007-04-01;79,500000;79,830002;73,199997;78,949997;206000,000000;52,139290
2007-05-01;79,239998;79,750000;69,139999;70,949997;184600,000000;47,442722
2007-06-02;71,209999;74,309998;64,110001;65,089996;192900,000000;43,524265
2007-07-01;65,010002;70,440002;63,020000;69,480003;398500,000000;46,459770
2007-08-04;69,510002;73,449997;66,570000;71,459999;239700,000000;48,279720
2007-09-01;72,099998;76,690002;68,760002;72,959999;238200,000000;49,293148
2007-10-01;71,160004;71,320000;61,099998;66,050003;306300,000000;44,624626
2007-11-03;66,260002;69,669998;60,009998;61,459999;411900,000000;42,209103
2008-00-02;61,459999;63,099998;53,330002;60,980000;922700,000000;41,879452
2008-01-01;61,349998;63,619999;57,669998;59,040001;869300,000000;40,547112
2008-02-03;59,029999;65,599998;56,240002;62,389999;597200,000000;43,176708
2008-03-01;63,740002;68,809998;63,080002;66,370003;748800,000000;45,931049
2008-04-01;66,449997;68,720001;64,510002;66,230003;785500,000000;45,834164
2008-05-02;66,669998;67,419998;57,730000;58,419998;569700,000000;40,968685
2008-06-01;56,889999;63,200001;53,189999;60,240002;3877500,000000;42,245014
2008-07-01;60,270000;64,519997;58,380001;61,669998;3158300,000000;43,247841
2008-08-02;62,000000;68,949997;55,830002;60,799999;3425400,000000;43,194332
2008-09-01;60,500000;60,500000;32,529999;41,509998;4018600,000000;29,490078
2008-10-03;41,400002;42,540001;22,520000;32,080002;5337600,000000;22,790695
2008-11-01;31,280001;39,220001;25,450001;36,450001;2290700,000000;26,599232
2009-00-02;36,630001;36,750000;28,660000;30,059999;3153200,000000;21,936155
2009-01-02;29,370001;31,639999;23,180000;23,889999;4387700,000000;17,433624
2009-02-02;23,559999;27,270000;19,950001;24,280001;3262000,000000;18,068457
2009-03-01;23,850000;33,000000;23,590000;31,730000;4750800,000000;23,612526
2009-04-01;31,760000;33,619999;29,000000;32,560001;3787100,000000;24,230188
2009-05-01;33,340000;35,099998;29,570000;31,010000;2481700,000000;23,455542
2009-06-01;31,230000;34,910000;27,820000;34,349998;2137400,000000;25,981873
2009-07-03;35,090000;40,900002;34,430000;39,270000;4134400,000000;29,703295
2009-08-01;38,970001;45,240002;36,180000;41,450001;3403200,000000;31,661562
2009-09-01;41,360001;42,380001;38,470001;39,599998;3699500,000000;30,248440
2009-10-02;39,700001;43,509998;38,439999;42,200001;2787700,000000;32,234447
2009-11-01;42,630001;46,639999;42,180000;44,740002;2224600,000000;34,615536
2010-00-04;45,220001;45,630001;41,860001;42,270000;3362400,000000;32,704483
2010-01-01;42,590000;45,119999;40,330002;44,630001;3152700,000000;34,530426
2010-02-01;44,900002;50,500000;44,730000;48,810001;2657400,000000;38,047958
2010-03-01;49,169998;54,360001;48,610001;52,299999;2962600,000000;40,768452
2010-04-03;52,759998;54,349998;45,000000;49,509998;4354200,000000;38,593613
2010-05-01;48,840000;52,150002;45,230000;46,490002;3732100,000000;36,582008
2010-06-01;46,520000;51,820000;43,959999;50,950001;3322200,000000;40,091488
2010-07-02;51,779999;52,810001;48,110001;50,299999;2357700,000000;39,580017
2010-08-01;50,889999;54,849998;50,880001;52,080002;2265100,000000;41,349525
2010-09-01;52,389999;56,180000;51,689999;54,549999;2055700,000000;43,310612
2010-10-01;54,810001;57,650002;51,619999;53,540001;1868100,000000;42,508709
2010-11-01;54,200001;55,750000;52,750000;55,369999;1841200,000000;44,443153
2011-00-03;55,759998;57,599998;54,419998;57,169998;1768700,000000;45,887936
2011-01-01;57,509998;59,860001;56,759998;59,860001;1595800,000000;48,047089
2011-02-01;59,830002;60,000000;55,730000;58,470001;2183800,000000;47,273209
2011-03-01;58,779999;62,380001;57,099998;61,830002;1851800,000000;49,989780
2011-04-02;62,130001;62,700001;59,720001;62,680000;1713800,000000;50,677006
2011-05-01;62,540001;62,610001;57,820000;60,099998;2008400,000000;49,005039
2011-06-01;60,270000;63,320000;59,959999;61,040001;1847200,000000;49,771511
2011-07-01;61,770000;62,000000;48,720001;57,610001;4077400,000000;46,974716
2011-08-01;57,500000;57,959999;50,650002;50,869999;2704900,000000;41,881748
2011-09-03;50,340000;59,119999;47,099998;58,139999;2974200,000000;47,867210
2011-10-01;56,349998;58,490002;51,889999;55,930000;2041700,000000;46,047695
2011-11-01;55,910000;58,869999;54,299999;58,000000;1740800,000000;48,281170
2012-00-03;59,049999;62,119999;57,029999;61,700001;1963000,000000;51,361176
2012-01-01;62,209999;63,349998;60,779999;60,990002;2334500,000000;50,770149
2012-02-01;61,049999;63,970001;60,650002;63,650002;2177400,000000;53,410275
2012-03-02;63,730000;65,760002;60,840000;65,470001;2351400,000000;54,937481
2012-04-01;65,550003;66,690002;60,910000;62,520000;2249400,000000;52,462063
2012-05-01;61,599998;65,470001;60,139999;65,430000;2581600,000000;55,356430
2012-06-02;65,940002;67,709999;64,930000;66,739998;1854300,000000;56,464741
2012-07-01;67,120003;67,550003;65,300003;66,730003;1828600,000000;56,456284
2012-08-04;66,739998;69,199997;64,589996;64,970001;3384800,000000;55,404392
2012-09-01;65,099998;66,320000;63,400002;64,379997;2390700,000000;54,901257
2012-10-01;64,500000;65,570000;61,660000;64,209999;2749600,000000;54,756287
2012-11-03;64,480003;66,559998;64,129997;65,800003;2686500,000000;56,794720
2013-00-02;66,930000;69,330002;66,209999;68,260002;2566300,000000;58,918049
2013-01-01;68,620003;70,070000;68,029999;69,089996;2915400,000000;59,634449
2013-02-01;68,910004;70,739998;68,559998;70,529999;2669700,000000;61,347248
2013-03-01;70,660004;75,290001;70,110001;75,279999;2539600,000000;65,478813
2013-04-01;75,389999;78,860001;70,750000;70,779999;3605100,000000;61,564697
2013-05-03;70,760002;71,500000;64,279999;68,720001;5859800,000000;60,344555
2013-06-01;69,260002;72,860001;67,370003;69,339996;2804200,000000;60,888988
2013-07-01;69,610001;69,809998;63,470001;64,500000;3375000,000000;56,638878
2013-08-03;64,750000;70,070000;63,400002;66,139999;3854300,000000;58,610962
2013-09-01;66,150002;71,129997;65,400002;69,129997;3207200,000000;61,260593
2013-10-01;69,410004;69,949997;65,400002;65,500000;2713900,000000;58,043816
2013-11-02;65,430000;66,510002;63,959999;64,559998;3429600,000000;58,102943
2014-00-02;64,279999;67,620003;64,050003;67,320000;3504400,000000;60,586899
2014-01-03;67,220001;70,989998;65,989998;70,730003;4822700,000000;63,655846
2014-02-03;70,290001;72,010002;68,790001;70,620003;4022700,000000;63,972145
2014-03-01;70,769997;72,989998;70,129997;72,940002;3402100,000000;66,073746
2014-04-01;73,059998;75,019997;72,309998;74,690002;3010600,000000;67,659012
2014-05-02;74,919998;76,769997;73,650002;74,839996;3337900,000000;68,426361
2014-06-01;74,889999;76,879997;74,309998;74,900002;2839600,000000;68,481224
2014-07-01;74,889999;77,839996;74,000000;77,180000;2346700,000000;70,565826
2014-08-02;77,050003;78,080002;71,089996;71,849998;3798400,000000;66,303253
2014-09-01;71,599998;79,050003;71,320000;78,989998;4333200,000000;72,892052
2014-10-03;79,029999;81,440002;78,059998;80,570000;3213600,000000;74,350075
