"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2010-10-30;95,649994;97,720001;95,419998;95,570000;504000,000000;9,557000
2010-11-01;99,570000;124,840004;97,830002;119,540009;209100,000000;11,954000
2011-00-03;122,720001;153,020004;120,820000;137,650009;382500,000000;13,765000
2011-01-01;141,589996;159,490005;121,839996;140,979996;754100,000000;14,098000
2011-02-01;143,020004;143,020004;105,480003;139,870010;1584000,000000;13,987000
2011-03-01;142,779999;176,119995;138,850006;174,920013;1497100,000000;17,492001
2011-04-02;176,869995;189,599991;157,830002;188,150009;2132800,000000;18,815001
2011-05-01;186,650009;187,350006;15,620000;18,290001;6175500,000000;18,290001
2011-06-01;18,389999;19,360001;14,950000;15,980000;4505100,000000;15,980000
2011-07-01;16,850000;16,879999;6,930000;7,870000;16310900,000000;7,870000
2011-08-01;7,890000;8,120000;5,450000;5,480000;9187400,000000;5,480000
2011-09-03;5,360000;7,400000;4,910000;6,560000;9141700,000000;6,560000
2011-10-01;5,590000;6,290000;4,880000;5,710000;9706100,000000;5,710000
2011-11-01;5,680000;7,190000;5,390000;6,510000;5994700,000000;6,510000
2012-00-03;6,820000;8,820000;6,680000;8,520000;6146500,000000;8,520000
2012-01-01;8,710000;9,610000;7,540000;8,950000;9158500,000000;8,950000
2012-02-01;9,030000;13,440000;8,270000;12,270000;8800000,000000;12,270000
2012-03-02;12,220000;12,750000;9,930000;11,930000;9003200,000000;11,930000
2012-04-01;11,960000;12,460000;8,410000;8,890000;14131900,000000;8,890000
2012-05-01;8,250000;11,310000;8,060000;11,250000;15338100,000000;11,250000
2012-06-02;11,490000;13,420000;10,910000;11,970000;11981400,000000;11,970000
2012-07-01;12,220000;14,650000;11,830000;13,890000;9242200,000000;13,890000
2012-08-04;13,860000;18,320000;13,620000;17,020000;12490600,000000;17,020000
2012-09-01;17,430000;18,680000;15,830000;16,080000;12004800,000000;16,080000
2012-10-01;16,240000;19,750000;15,400000;19,219999;14009400,000000;19,219999
2012-11-03;19,690001;20,150000;14,780000;16,590000;13127900,000000;16,590000
2013-00-02;18,209999;22,910000;17,730000;20,940001;13734600,000000;20,940001
2013-01-01;21,799999;24,170000;18,129999;20,129999;16152800,000000;20,129999
2013-02-01;19,230000;23,580000;18,730000;23,309999;17180600,000000;23,309999
2013-03-01;23,420000;25,690001;19,430000;22,900000;17145100,000000;22,900000
2013-04-01;22,680000;23,990000;21,820000;22,430000;14638100,000000;22,430000
2013-05-03;22,480000;22,870001;17,900000;19,980000;26812100,000000;19,980000
2013-06-01;20,280001;27,620001;20,020000;26,990000;12288900,000000;26,990000
2013-07-01;27,740000;29,000000;23,000000;23,410000;11394700,000000;23,410000
2013-08-03;24,490000;29,450001;23,809999;26,790001;10321400,000000;26,790001
2013-09-01;26,760000;29,870001;22,219999;29,000000;17530000,000000;29,000000
2013-10-01;29,250000;33,830002;28,840000;32,750000;7916800,000000;32,750000
2013-11-02;32,869999;35,660000;30,389999;34,380001;8350600,000000;34,380001
2014-00-02;33,880001;36,619999;28,170000;28,610001;13399000,000000;28,610001
2014-01-03;28,280001;33,340000;25,379999;31,200001;19146100,000000;31,200001
2014-02-03;29,270000;31,700001;27,910000;31,610001;13318800,000000;31,610001
2014-03-01;31,700001;33,070000;28,480000;32,759998;10763300,000000;32,759998
2014-04-01;32,650002;39,119999;32,200001;38,950001;7727200,000000;38,950001
2014-05-02;38,950001;45,490002;38,540001;44,980000;7770100,000000;44,980000
2014-06-01;45,400002;47,660000;39,200001;39,730000;9806900,000000;39,730000
2014-07-01;39,330002;44,790001;35,009998;43,380001;13305100,000000;43,380001
2014-08-02;43,419998;45,169998;37,959999;38,250000;11403800,000000;38,250000
2014-09-01;38,270000;41,290001;24,670000;35,060001;30180000,000000;35,060001
2014-10-03;35,099998;39,720001;33,290001;38,509998;10970400,000000;38,509998
2014-11-01;37,720001;40,740002;28,830000;31,139999;19724300,000000;31,139999
2015-00-02;32,250000;32,619999;24,799999;24,969999;30264000,000000;24,969999
2015-01-02;25,910000;33,709999;24,750000;32,750000;19099300,000000;32,750000
2015-02-02;32,930000;36,060001;30,490000;34,639999;17195700,000000;34,639999
2015-03-01;34,590000;42,459999;33,549999;39,919998;14956600,000000;39,919998
2015-04-01;40,439999;46,639999;38,340000;45,189999;13903900,000000;45,189999
2015-05-01;45,700001;50,099998;38,730000;40,610001;17398100,000000;40,610001
2015-06-01;42,700001;49,060001;36,950001;48,040001;20122500,000000;48,040001
2015-07-03;48,270000;49,599998;22,879999;25,639999;29861300,000000;25,639999
2015-08-01;23,299999;32,119999;21,309999;24,350000;39140100,000000;24,350000
2015-09-01;24,299999;33,070000;23,440001;31,090000;28435100,000000;31,090000
2015-10-02;31,139999;32,939999;25,920000;29,850000;25284200,000000;29,850000
2015-11-01;30,230000;31,570000;22,049999;25,799999;30494300,000000;25,799999
2016-00-04;23,740000;25,200001;16,309999;20,020000;49016100,000000;20,020000
2016-01-01;19,910000;20,480000;15,360000;18,840000;29114500,000000;18,840000
2016-02-01;19,330000;26,490000;19,139999;25,879999;20863300,000000;25,879999
2016-03-01;25,020000;29,370001;23,010000;26,180000;23886100,000000;26,180000
2016-04-02;26,760000;32,290001;25,629999;31,750000;25578500,000000;31,750000
2016-05-01;31,209999;34,099998;20,209999;24,990000;38758600,000000;24,990000
2016-06-01;25,309999;33,900002;24,480000;33,689999;26483700,000000;33,689999
2016-07-01;33,900002;38,009998;31,840000;37,439999;24468600,000000;37,439999
2016-08-01;37,610001;40,590000;30,280001;37,459999;28797700,000000;37,459999
2016-09-03;37,169998;41,700001;34,630001;36,930000;21180900,000000;36,930000
2016-10-01;36,810001;44,349998;32,689999;43,520000;23649700,000000;43,520000
2016-11-01;43,650002;46,330002;41,099998;46,060001;23159800,000000;46,060001
