"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2011-04;31,540001;32,270000;30,920000;31,100000;8100,000000;28,743439
2011-05;31,650000;31,750000;28,520000;30,750000;4700,000000;28,419960
2011-06;30,559999;31,160000;29,170000;31,049999;600,000000;28,697227
2011-07;31,540001;31,920000;30,750000;31,379999;300,000000;29,002222
2011-08;31,379999;31,379999;24,570000;27,180000;2200,000000;25,120472
2011-09;27,080000;27,080000;21,670000;22,299999;1100,000000;20,610247
2011-10;22,299999;26,580000;20,750000;25,190001;400,000000;23,281261
2011-11;25,190001;25,240000;22,209999;24,469999;800,000000;22,615818
2011-12;24,809999;24,809999;22,150000;22,840000;700,000000;21,635094
2012-01;23,480000;24,610001;22,290001;24,170000;400,000000;22,894930
2012-02;25,000000;26,360001;24,959999;26,360001;3900,000000;24,969398
2012-03;26,610001;26,719999;24,490000;25,100000;2400,000000;23,775869
2012-04;25,170000;25,540001;23,639999;23,750000;2700,000000;22,497087
2012-05;23,850000;24,290001;20,969999;21,410000;1700,000000;20,280533
2012-06;21,410000;22,150000;20,980000;21,540001;300,000000;20,635887
2012-07;21,540001;23,440001;21,299999;22,770000;100,000000;21,814259
2012-08;22,770000;23,709999;22,379999;23,500000;1700,000000;22,513618
2012-09;23,540001;25,010000;23,290001;24,650000;2600,000000;23,615347
2012-10;24,650000;25,610001;24,459999;25,350000;300,000000;24,285967
2012-11;25,350000;25,950001;24,520000;25,639999;2400,000000;24,563793
2012-12;25,639999;27,320000;25,490000;26,830000;2000,000000;25,703846
2013-01;27,450001;27,450001;25,219999;25,340000;3600,000000;24,276386
2013-02;25,120001;26,150000;25,020000;26,080000;1100,000000;24,985325
2013-03;26,040001;26,250000;24,420000;25,020000;1100,000000;24,030424
2013-04;24,799999;25,209999;23,240000;25,209999;500,000000;24,212908
2013-05;25,120001;25,559999;24,580000;24,930000;200,000000;23,943983
2013-06;24,850000;24,879999;21,469999;22,540001;1800,000000;21,685188
2013-07;23,059999;24,549999;22,350000;24,459999;3700,000000;23,532372
2013-08;24,660000;24,990000;23,820000;24,770000;700,000000;23,830616
2013-09;24,770000;27,280001;24,770000;26,639999;4000,000000;25,629696
2013-10;26,639999;28,510000;26,500000;27,620001;2700,000000;26,572533
2013-11;27,620001;28,000000;26,570000;27,610001;3200,000000;26,562910
2013-12;27,850000;28,410000;26,730000;28,200001;3900,000000;27,223038
2014-01;27,670000;27,670000;25,080000;25,709999;2300,000000;24,819300
2014-02;25,340000;26,629999;25,070000;26,320000;2600,000000;25,408169
2014-03;25,990000;26,670000;25,360001;26,209999;1000,000000;25,533382
2014-04;26,490000;27,260000;26,129999;26,740000;1100,000000;26,049702
2014-05;26,740000;27,559999;26,629999;27,030001;900,000000;26,332216
2014-06;27,010000;27,639999;26,750000;27,639999;2200,000000;26,926468
2014-07;27,629999;27,969999;26,680000;27,370001;6000,000000;26,663439
2014-08;27,370001;29,540001;27,370001;29,540001;3500,000000;28,777420
2014-09;29,410000;29,410000;27,660000;27,660000;3200,000000;26,945951
2014-10;27,129999;27,299999;25,860001;25,860001;1900,000000;25,192419
2014-11;25,719999;25,879999;24,709999;25,360001;1300,000000;24,705328
2014-12;24,650000;24,860001;23,900000;24,270000;800,000000;23,643465
2015-01;23,950001;25,440001;23,520000;24,200001;2500,000000;23,575274
2015-02;24,139999;25,040001;24,139999;24,770000;300,000000;24,130558
2015-03;24,770000;25,420000;23,129999;23,790001;100,000000;23,374973
2015-04;24,770000;27,760000;24,480000;27,190001;2600,000000;26,715658
2015-05;27,299999;27,709999;26,010000;26,440001;1600,000000;25,978743
2015-06;26,230000;28,809999;24,900000;25,620001;800,000000;25,195787
2015-07;31,629999;34,779999;22,930000;23,980000;500,000000;23,582941
2015-08;23,980000;24,190001;19,500000;23,000000;600,000000;22,619167
2015-09;22,900000;23,440001;22,299999;22,299999;600,000000;21,930758
2015-10;22,299999;24,940001;22,299999;24,430000;700,000000;24,025490
2015-11;24,590000;24,600000;23,910000;24,240000;100,000000;23,838636
2015-12;24,080000;24,080000;21,990000;22,719999;600,000000;22,343803
2016-01;22,719999;22,719999;21,000000;21,750000;300,000000;21,389866
2016-02;21,750000;22,830000;21,559999;22,190001;5100,000000;21,822580
2016-03;22,000000;24,610001;21,920000;24,400000;11200,000000;24,400000
2016-04;24,120001;24,580000;23,370001;23,610001;3200,000000;23,610001
2016-05;23,700001;24,059999;22,389999;22,620001;7100,000000;22,620001
2016-06;22,469999;23,299999;22,260000;22,889999;2100,000000;22,889999
2016-07;22,889999;23,650000;22,360001;23,559999;0,000000;23,559999
2016-08;23,559999;24,830000;23,559999;24,059999;1100,000000;24,059999
2016-09;24,059999;26,590000;23,900000;24,540001;39900,000000;24,540001
2016-10;25,790001;25,830000;22,549999;22,809999;17600,000000;22,809999
2016-11;22,860001;23,709999;21,680000;21,790001;22700,000000;21,790001
2016-12;22,150000;22,730000;21,879999;22,430000;7500,000000;22,430000
