"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-07;24,350000;27,920000;24,350000;24,690001;5600,000000;17,242771
2015-08;25,330000;25,719999;21,545000;23,610001;192900,000000;16,488531
2015-09;23,170000;23,980000;22,049999;22,850000;30500,000000;15,957769
2015-10;22,490000;24,559999;22,490000;24,063999;10100,000000;16,805590
2015-11;24,190001;24,400000;23,240000;24,270000;45000,000000;16,949455
2015-12;24,223000;24,309999;21,230000;21,760000;219100,000000;15,723012
2016-01;21,570000;21,690001;18,270000;19,290001;8200,000000;13,938277
2016-02;18,950001;19,080000;16,209999;17,969999;26900,000000;12,984490
2016-03;18,639999;19,700001;18,520000;18,690001;19600,000000;13,504738
2016-04;18,400000;19,590000;17,209999;19,320000;23100,000000;13,959953
2016-05;19,020000;19,209999;18,032000;19,040001;9900,000000;13,757636
2016-06;18,750000;19,170000;16,129999;17,639999;24300,000000;12,746044
2016-07;17,465000;17,490000;15,800000;17,309999;15500,000000;13,000751
2016-08;17,090000;17,680000;16,520000;17,540001;26900,000000;13,173495
2016-09;17,730000;18,004000;16,660000;17,090000;18400,000000;12,835520
2016-10;16,879999;18,101000;16,820999;17,860001;22600,000000;13,413832
2016-11;17,690001;17,959999;16,940001;17,879999;5500,000000;13,428852
2016-12;18,020000;18,100000;13,450000;14,218000;9700,000000;14,218000
