"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2011-11;24,799999;26,010000;24,059999;24,870001;6400,000000;19,738216
2011-12;24,980000;25,360001;24,160000;25,020000;13000,000000;19,933474
2012-01;25,600000;26,459999;24,950001;25,900000;184700,000000;20,634569
2012-02;26,000000;27,059999;25,809999;26,270000;19100,000000;20,958481
2012-03;26,299999;26,660000;25,700001;26,010000;17900,000000;20,814436
2012-04;25,969999;26,650000;25,510000;26,620001;18500,000000;21,453529
2012-05;26,450001;26,830000;24,680000;24,780001;28100,000000;20,018017
2012-06;24,660000;25,459999;24,240000;25,120001;16200,000000;20,393908
2012-07;25,309999;26,049999;25,059999;25,910000;15600,000000;21,088163
2012-08;25,889999;26,850000;25,719999;26,219999;22200,000000;21,370165
2012-09;26,320000;27,000000;25,950001;26,670000;17000,000000;21,835197
2012-10;26,700001;27,010000;26,330000;26,639999;24300,000000;21,885309
2012-11;26,620001;26,780001;26,090000;26,730000;26800,000000;21,959246
2012-12;26,799999;27,459999;26,389999;27,100000;26500,000000;22,469238
2013-01;27,200001;27,860001;26,740000;27,280001;33300,000000;22,618481
2013-02;27,320000;27,580000;26,260000;26,400000;87300,000000;21,920994
2013-03;26,540001;27,200001;26,280001;27,010000;25300,000000;22,482004
2013-04;26,620001;27,129999;26,389999;26,959999;24000,000000;22,586727
2013-05;27,000000;27,240000;25,719999;25,760000;175200,000000;21,607832
2013-06;25,750000;25,990000;23,510000;23,990000;77000,000000;20,264734
2013-07;24,240000;24,760000;23,740000;24,450001;36900,000000;20,712849
2013-08;24,650000;24,650000;23,510000;24,010000;110300,000000;20,377605
2013-09;24,000000;24,790001;23,830000;24,600000;79600,000000;20,976194
2013-10;24,469999;25,260000;24,200001;24,850000;13400,000000;21,273251
2013-11;24,610001;24,889999;24,420000;24,559999;14300,000000;21,052099
2013-12;24,330000;24,680000;23,549999;23,969999;20800,000000;21,023657
2014-01;23,780001;24,120001;23,139999;23,260000;10900,000000;20,400930
2014-02;23,059999;23,799999;23,059999;23,760000;8800,000000;20,907785
2014-03;23,770000;23,879999;23,260000;23,809999;12000,000000;21,057245
2014-04;23,799999;24,870001;23,549999;24,860001;19300,000000;22,103752
2014-05;24,879999;25,430000;24,400000;24,940001;14000,000000;22,254557
2014-06;24,990000;25,389999;24,270000;25,209999;14000,000000;22,567873
2014-07;25,490000;25,600000;24,700001;24,840000;14200,000000;22,304777
2014-08;24,700001;24,879999;24,240000;24,620001;7800,000000;22,177765
2014-09;24,420000;24,840000;23,370001;23,860001;18000,000000;21,545664
2014-10;23,540001;23,950001;23,209999;23,660000;6800,000000;21,418922
2014-11;23,690001;23,940001;23,120001;23,360001;11600,000000;21,201103
2014-12;23,440001;23,530001;21,920000;22,510000;16200,000000;20,544586
2015-01;22,660000;23,219999;19,809999;19,820000;10600,000000;18,089457
2015-02;20,430000;20,990000;19,730000;20,820000;14600,000000;19,069494
2015-03;20,670000;20,930000;20,000000;20,090000;10200,000000;18,462057
2015-04;19,940001;21,440001;19,730000;21,260000;14800,000000;19,612417
2015-05;21,969999;22,440001;20,660000;20,959999;218800,000000;19,399540
2015-06;21,040001;21,240000;19,540001;19,670000;64100,000000;18,243008
2015-07;19,590000;19,840000;18,070000;18,150000;253100,000000;16,863268
2015-08;18,160000;18,410000;16,160000;17,120001;28400,000000;15,959930
2015-09;17,520000;17,879999;15,950000;16,420000;70400,000000;15,370207
2015-10;16,190001;17,389999;15,900000;17,030001;107400,000000;16,015335
2015-11;17,080000;17,490000;16,459999;16,549999;32800,000000;15,633702
2015-12;16,389999;16,559999;15,140000;16,080000;46800,000000;15,480666
2016-01;16,260000;16,450001;13,400000;14,390000;29900,000000;13,853657
2016-02;14,400000;14,920000;13,840000;14,260000;13600,000000;13,804286
2016-03;14,020000;16,330000;14,010000;16,100000;14400,000000;15,680048
2016-04;16,090000;17,500000;15,700000;17,350000;312800,000000;16,988188
2016-05;17,250000;17,350000;15,930000;16,450001;76700,000000;16,120893
2016-06;16,559999;17,059999;15,010000;15,520000;305100,000000;15,241001
2016-07;15,440000;16,370001;15,220000;16,160000;111900,000000;15,903552
2016-08;16,230000;16,969999;15,960000;16,459999;192100,000000;16,299591
2016-09;16,540001;16,719999;15,800000;16,200001;37800,000000;16,042128
2016-10;16,209999;16,209999;15,520000;15,720000;155500,000000;15,646000
2016-11;15,580000;15,850000;15,220000;15,510000;52700,000000;15,510000
2016-12;15,410000;15,780000;15,410000;15,660000;27200,000000;15,660000
