"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2014-05;24,719999;27,150000;24,370001;27,150000;101500,000000;25,213243
2014-06;26,940001;26,959999;21,790001;21,850000;49500,000000;20,291321
2014-07;22,740000;26,049999;22,740000;24,719999;28700,000000;22,956587
2014-08;24,750000;26,796000;24,690001;25,480000;21600,000000;23,662373
2014-09;26,190001;27,209999;25,658001;26,240000;32200,000000;24,368158
2014-10;26,030001;26,860001;24,487000;25,872000;12200,000000;24,026409
2014-11;25,872000;26,590000;25,629999;25,780001;21000,000000;23,940973
2014-12;25,040001;26,059999;21,500000;23,930000;16700,000000;22,222944
2015-01;23,530001;24,379999;22,610001;22,990000;21300,000000;21,349998
2015-02;23,309999;25,040001;23,309999;24,420000;12300,000000;22,677988
2015-03;24,440001;24,549999;22,280001;23,040001;8200,000000;21,612112
2015-04;22,920000;23,459999;22,430000;23,400000;26700,000000;22,517635
2015-05;23,100000;23,730000;22,219999;23,180000;24700,000000;22,333849
2015-06;23,230000;23,370001;21,780001;22,695000;21300,000000;21,866552
2015-07;22,410000;22,950001;21,730000;21,799999;15100,000000;21,004223
2015-08;21,799999;22,340000;19,990000;21,889999;5500,000000;21,090939
2015-09;21,820000;22,299999;20,670000;21,108000;7700,000000;20,337484
2015-10;21,108000;22,180000;21,108000;21,719999;15200,000000;20,927143
2015-11;21,719999;21,719999;18,809999;18,850000;5000,000000;18,161909
2015-12;19,209999;19,600000;17,920000;19,280001;1100,000000;18,588110
2016-01;18,320000;18,690001;15,880000;17,580000;15600,000000;16,949116
2016-02;17,690001;18,940001;17,490000;18,770000;18000,000000;18,096411
2016-03;18,959999;20,080000;18,740000;20,070000;3100,000000;19,349758
2016-04;20,070000;20,070000;19,070000;19,670000;15100,000000;18,964113
2016-05;19,670000;19,670000;18,070000;18,270000;7500,000000;17,614355
2016-06;18,379999;18,959999;17,549999;18,290001;3000,000000;18,290001
2016-07;18,040001;19,580000;18,000000;19,540001;4600,000000;19,540001
2016-08;19,209999;21,110001;19,209999;20,209999;9300,000000;20,209999
2016-09;19,840000;20,469999;19,000000;19,424999;25000,000000;19,424999
2016-10;19,424999;19,600000;19,090000;19,090000;5600,000000;19,090000
2016-11;18,827999;18,827999;17,719999;17,780001;4900,000000;17,780001
2016-12;17,959999;18,150000;17,959999;18,150000;4600,000000;18,150000
