"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2008-11;57,740009;58,790009;21,669991;37,419991;12260600,000000;10,595654
2008-12;34,470001;38,750008;27,380009;36,389999;25165100,000000;10,321997
2009-01;37,079998;42,099991;25,500000;27,519991;41883200,000000;7,806025
2009-02;26,250000;32,760002;18,890011;19,040010;60940100,000000;5,400685
2009-03;17,910000;26,219999;14,000010;22,619999;83938100,000000;6,437176
2009-04;21,849991;31,449989;21,650009;29,679989;61908800,000000;8,446300
2009-05;29,840008;35,760002;29,090008;34,329990;51983600,000000;9,769592
2009-06;35,760002;38,510010;30,519991;33,959999;44670000,000000;9,699160
2009-07;34,370010;42,840000;28,439999;41,559990;37121300,000000;11,869758
2009-08;42,900002;48,590012;40,550011;45,939987;29752700,000000;13,120709
2009-09;45,249992;54,909988;42,119999;51,050011;23084800,000000;14,612097
2009-10;50,649986;57,699989;45,729988;47,090008;24113800,000000;13,478621
2009-11;47,750008;58,860001;46,260002;49,209991;21977300,000000;15,951114
2009-12;50,639999;54,969990;48,170006;52,509991;11771300,000000;17,046827
2010-01;53,889988;58,010010;46,479988;46,619999;18229900,000000;15,134702
2010-02;47,699997;52,320000;42,779999;51,000000;20081300,000000;16,556623
2010-03;51,750000;61,179989;51,669991;59,520000;11495900,000000;19,778814
2010-04;60,669991;68,100006;59,709991;62,520000;13289800,000000;20,775730
2010-05;63,309990;65,349991;41,070000;47,579998;21819600,000000;15,811089
2010-06;46,070011;52,439999;38,919991;39,099991;15959600,000000;13,008013
2010-07;39,230011;50,150009;36,830009;47,400002;13350000,000000;15,769308
2010-08;49,610012;51,110012;39,650009;41,130001;11032800,000000;13,683368
2010-09;42,609989;54,969990;42,519989;52,749992;9114400,000000;17,583330
2010-10;53,850002;60,590012;51,350014;58,959991;6530200,000000;19,653330
2010-11;59,769989;65,760002;57,410007;58,949997;5287300,000000;19,650000
2010-12;61,470001;72,099991;61,470001;71,499992;2875500,000000;23,833330
2011-01;72,989998;79,229996;71,820000;76,179993;3290300,000000;25,393330
2011-02;77,600014;87,459991;77,510010;84,149994;3315900,000000;28,049999
2011-03;84,999992;85,149986;69,840004;83,850006;4853600,000000;27,950001
2011-04;85,340012;91,400009;77,879997;91,209991;3178900,000000;30,403330
2011-05;92,469986;92,649986;80,970001;87,800011;3685400,000000;29,266670
2011-06;87,099991;87,230011;71,229988;82,490005;3967900,000000;27,496670
2011-07;82,620003;89,699997;74,660004;76,709999;5121400,000000;25,570000
2011-08;79,460007;81,909988;45,380009;59,930008;14043400,000000;19,976669
2011-09;59,889988;61,550011;44,559990;46,370010;12450700,000000;15,456670
2011-10;45,510002;68,240005;39,239998;62,019989;9181500,000000;20,673330
2011-11;56,939999;65,570007;48,419998;59,739990;7674800,000000;19,913330
2011-12;59,459999;62,979988;53,289993;60,840004;6304100,000000;20,280001
2012-01;63,999992;73,370010;61,770000;69,879990;4139000,000000;23,293329
2012-02;71,450012;81,440010;71,300011;78,969986;3222900,000000;26,323330
2012-03;79,910004;88,400009;74,499992;86,180008;2547700,000000;28,726669
2012-04;86,180008;88,970009;77,030014;84,080009;3140700,000000;28,026670
2012-05;84,230011;87,470009;66,140015;69,149994;3180800,000000;23,049999
2012-06;65,750008;76,889999;62,000008;76,169998;2929300,000000;25,389999
2012-07;76,850014;81,170006;70,320000;78,549988;1959400,000000;26,183331
2012-08;80,049988;87,620010;74,829994;83,799988;2276100,000000;27,933331
2012-09;83,859985;96,830002;82,190010;90,219986;2566200,000000;30,073330
2012-10;91,260002;96,249985;83,279999;84,620010;2091000,000000;28,206671
2012-11;85,580009;89,199989;73,260002;85,529999;2232900,000000;28,510000
2012-12;86,919991;91,959991;82,529999;87,650009;2405900,000000;29,216669
2013-01;92,729996;103,919998;91,949997;101,360016;1705800,000000;33,786671
2013-02;103,250015;108,530014;98,949989;104,399994;1531500,000000;34,799999
2013-03;103,629990;117,170013;102,189995;116,390007;1882500,000000;38,796669
2013-04;116,639999;117,350006;36,459999;40,939999;1153900,000000;40,939999
2013-05;40,669998;48,439999;39,709999;43,750000;1143600,000000;43,750000
