"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2001-11;46,829998;47,199989;46,250008;47,199989;4200,000000;11,454793
2001-12;47,589989;49,680000;46,749992;49,470001;9300,000000;12,023643
2002-01;48,759991;49,130013;46,949997;47,400002;1700,000000;11,520532
2002-02;47,400002;51,339993;47,400002;51,339993;7200,000000;12,478144
2002-03;51,480000;54,800011;51,480000;54,639988;6400,000000;13,280205
2002-04;55,040009;55,590004;51,600002;52,910007;11900,000000;12,859735
2002-05;52,749992;54,209999;52,389988;53,520000;27800,000000;13,007993
2002-06;53,540009;53,540009;50,250000;53,450008;95700,000000;12,990981
2002-07;53,649986;53,649986;41,649990;47,450012;31100,000000;11,532686
2002-08;46,560001;50,250000;43,940010;47,750008;11500,000000;11,605601
2002-09;45,909992;47,939999;43,199997;44,240009;8400,000000;10,752499
2002-10;44,739990;47,099998;42,249992;44,010002;34000,000000;10,696594
2002-11;44,600010;45,989998;43,310013;45,260010;8500,000000;11,000408
2002-12;45,060001;47,439987;44,949989;45,699989;8300,000000;11,327890
2003-01;46,290001;47,690010;41,810013;44,349991;17800,000000;10,993258
2003-02;44,649990;45,099991;42,789993;44,699997;9900,000000;11,080017
2003-03;44,900009;45,650009;42,549988;44,900009;11200,000000;11,129595
2003-04;45,500008;46,299988;44,810013;45,209999;3600,000000;11,206433
2003-05;45,200012;49,800003;44,900009;49,550011;7400,000000;12,282214
2003-06;49,800003;52,839993;49,709999;50,100002;20300,000000;12,418544
2003-07;49,689987;50,040001;47,699997;48,399986;10300,000000;11,997152
2003-08;48,000000;50,949989;47,709991;50,589993;36800,000000;12,540000
2003-09;50,649986;51,989998;49,749992;50,100002;27700,000000;12,418544
2003-10;50,220001;53,000008;50,189999;50,990009;19600,000000;12,639154
2003-11;51,239998;52,040009;50,259991;51,759991;22700,000000;12,830013
2003-12;52,179989;58,839993;52,160007;58,839993;59400,000000;14,804642
2004-01;58,919998;60,239998;56,850002;57,810001;64700,000000;14,545487
2004-02;57,239998;60,939987;57,200008;60,740009;53900,000000;15,282702
2004-03;61,379997;62,150009;57,999992;61,389988;85900,000000;15,446242
2004-04;61,400009;63,639988;60,369987;61,509991;341400,000000;15,476436
2004-05;61,400009;63,339993;59,310001;61,689987;143400,000000;15,521725
2004-06;62,180008;65,469986;61,689987;64,460007;89600,000000;16,218685
2004-07;64,460007;66,620010;63,699989;66,000000;154400,000000;16,606161
2004-08;66,000000;66,840004;62,750008;64,830002;354700,000000;16,311779
2004-09;64,989990;70,629990;64,719986;69,879990;123100,000000;17,582397
2004-10;70,400009;72,899994;69,260010;71,190002;93100,000000;17,912008
2004-11;71,699997;76,620003;70,379997;76,089996;87500,000000;19,144888
2004-12;76,089996;76,110001;71,150009;73,149986;101300,000000;18,726652
2005-01;73,040009;74,850006;70,160004;74,510010;94100,000000;19,074823
2005-02;75,200012;86,729996;74,820000;85,820007;171400,000000;21,970222
2005-03;85,250008;87,999992;80,229988;83,279999;205000,000000;21,319971
2005-04;84,000000;85,580009;77,810013;79,479988;132000,000000;20,347155
2005-05;79,529999;81,890015;75,750000;80,949989;91700,000000;20,723480
2005-06;81,149994;88,850014;81,149994;86,529991;85900,000000;22,151981
2005-07;87,039993;92,259995;86,900009;91,089996;114700,000000;23,319357
2005-08;91,850014;97,689995;91,050003;96,830002;206000,000000;24,788820
2005-09;98,990005;103,440002;97,599991;101,810005;482800,000000;26,063717
2005-10;101,810005;102,099991;87,029999;92,480011;208100,000000;23,675205
2005-11;92,300011;96,959999;89,729996;93,639984;468500,000000;23,972164
2005-12;94,929993;99,440018;92,699997;93,620010;288800,000000;24,245405
2006-01;95,399994;106,580002;95,300011;106,179993;289400,000000;27,498148
2006-02;106,169998;106,580002;96,279991;97,700012;143500,000000;25,302029
2006-03;98,250000;103,649994;95,499992;101,739990;97800,000000;26,348291
2006-04;102,530014;111,839996;102,180008;108,459991;206200,000000;28,088615
2006-05;109,250015;112,340012;99,410004;104,199989;148900,000000;26,985373
2006-06;102,950012;106,790009;93,609985;105,849991;115800,000000;27,412683
2006-07;106,400009;110,480011;102,830002;110,250000;99200,000000;28,552185
2006-08;110,000015;112,029991;105,950012;106,440002;174800,000000;27,565483
2006-09;106,649994;108,000000;96,999985;102,609993;202300,000000;26,573601
2006-10;102,299995;109,239990;97,299988;107,100006;227800,000000;27,736410
2006-11;106,889999;114,429993;105,029999;114,209999;86300,000000;29,577732
2006-12;113,700005;116,690018;109,749985;111,470009;98400,000000;29,334599
2007-01;110,399994;110,399994;102,000000;107,850006;466400,000000;28,381954
2007-02;108,750000;110,250000;104,949989;105,309982;141800,000000;27,713520
2007-03;103,760010;112,700012;100,190018;111,450005;104500,000000;29,329334
2007-04;111,729980;118,820007;111,189995;116,549995;190800,000000;30,671455
2007-05;116,370003;126,089996;116,079987;124,730011;195500,000000;32,824120
2007-06;124,989990;131,700012;123,000000;129,330002;271500,000000;34,034660
2007-07;130,389984;138,479996;125,900009;128,289978;171700,000000;33,760967
2007-08;129,479996;129,669998;113,919998;127,220009;257500,000000;33,479389
2007-09;127,400009;139,430008;126,639984;138,039978;141300,000000;36,326790
2007-10;140,059998;146,040009;134,409988;144,440018;154100,000000;38,011032
2007-11;143,069992;146,240005;131,960022;137,349991;149700,000000;36,145210
2007-12;138,620010;144,620010;135,849991;141,879990;163400,000000;38,078136
2008-01;142,490005;144,680008;113,450012;125,330002;269200,000000;33,636406
2008-02;125,930008;138,509995;119,559982;133,779999;113600,000000;35,904236
2008-03;133,380005;135,519989;121,680008;129,540009;190400,000000;34,766296
2008-04;129,290009;148,350006;128,729996;145,919998;303600,000000;39,162403
2008-05;144,809998;163,719986;141,290009;153,899994;360300,000000;41,304100
2008-06;153,279999;156,710022;146,990005;152,600006;212500,000000;41,290218
2008-07;152,139984;154,020004;42,630001;43,869999;375700,000000;35,610783
2008-08;43,490002;44,169998;40,540001;43,470001;121000,000000;35,286091
