"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2012-12;25,520000;25,520000;24,740000;24,740000;1300,000000;22,413134
2013-01;24,740000;26,680000;24,740000;26,600000;1500,000000;24,098196
2013-02;26,600000;29,700001;26,570000;27,129999;7600,000000;24,578346
2013-03;27,020000;28,270000;27,020000;28,250000;6400,000000;25,625122
2013-04;28,200001;29,080000;27,980000;28,980000;7200,000000;26,287294
2013-05;28,910000;30,510000;28,750000;29,590000;9900,000000;26,840616
2013-06;29,190001;29,760000;28,240000;29,230000;12100,000000;26,639202
2013-07;29,400000;30,950001;29,230000;30,629999;6900,000000;27,915113
2013-08;30,910000;31,070000;29,500000;29,500000;10900,000000;26,885271
2013-09;29,510000;30,690001;29,200001;30,040001;12900,000000;27,550180
2013-10;30,139999;31,670000;29,809999;31,490000;10600,000000;28,879999
2013-11;31,650000;32,520000;31,340000;32,160000;6400,000000;29,494467
2013-12;32,040001;32,570000;31,410000;32,290001;52900,000000;29,913567
2014-01;32,279999;32,279999;30,840000;31,139999;17000,000000;28,848202
2014-02;30,780001;32,450001;30,379999;32,369999;6500,000000;29,987677
2014-03;32,160000;32,790001;32,119999;32,680000;5000,000000;30,479807
2014-04;32,740002;33,290001;32,029999;33,180000;7100,000000;30,946144
2014-05;33,099998;33,799999;32,900002;33,799999;6500,000000;31,524403
2014-06;33,799999;34,259998;33,709999;34,060001;3800,000000;32,008881
2014-07;34,200001;34,750000;33,470001;33,470001;8300,000000;31,454412
2014-08;33,189999;34,610001;33,060001;34,529999;6900,000000;32,450577
2014-09;34,529999;34,720001;33,720001;34,000000;39300,000000;32,143105
2014-10;33,700001;35,080002;31,860001;35,080002;58700,000000;33,164120
2014-11;35,340000;36,070000;34,959999;36,000000;33600,000000;34,033875
2014-12;35,790001;36,490002;34,669998;35,880001;22200,000000;34,125237
2015-01;35,799999;36,450001;34,860001;35,459999;19600,000000;33,725773
2015-02;35,360001;37,209999;35,110001;36,970001;25500,000000;35,161926
2015-03;36,880001;37,049999;35,720001;36,320000;11700,000000;34,749130
2015-04;36,040001;37,130001;36,040001;36,500000;21600,000000;34,921345
2015-05;36,549999;37,270000;36,200001;36,810001;20700,000000;35,217937
2015-06;36,779999;36,860001;35,520000;35,540001;16700,000000;34,244682
2015-07;35,779999;36,650002;35,340000;36,080002;14200,000000;34,764999
2015-08;36,009998;36,240002;31,299999;34,150002;27000,000000;32,905342
2015-09;33,439999;35,040001;32,840000;33,389999;9800,000000;32,394676
2015-10;33,660000;36,060001;32,990002;35,860001;10900,000000;34,791050
2015-11;36,020000;36,369999;34,500000;35,580002;11600,000000;34,519398
2015-12;35,869999;35,930000;34,110001;34,619999;26900,000000;33,904118
2016-01;34,119999;34,480000;31,270000;33,450001;40300,000000;32,758312
2016-02;33,340000;34,279999;31,680000;33,810001;61400,000000;33,110870
2016-03;33,939999;36,240002;33,939999;36,070000;21500,000000;35,580822
2016-04;35,880001;36,590000;35,500000;35,799999;19500,000000;35,314484
2016-05;36,009998;36,480000;35,110001;36,400002;16200,000000;35,906349
2016-06;36,250000;36,980000;35,119999;36,900002;24500,000000;36,639263
2016-07;36,990002;38,310001;36,619999;38,150002;22800,000000;37,880432
2016-08;38,000000;38,430000;37,480000;37,830002;20900,000000;37,562691
2016-09;37,740002;38,180000;36,919998;37,630001;23000,000000;37,630001
2016-10;37,509998;37,509998;36,630001;36,720001;23000,000000;36,720001
2016-11;36,900002;38,599998;35,959999;38,380001;21800,000000;38,380001
2016-12;38,410000;38,549999;38,139999;38,549999;20100,000000;38,549999
