"Date";"Open";"High";"Low";"Close";"Volume";"Close adj."
2015-03;15,190000;15,760000;15,140000;15,440000;9200,000000;13,707062
2015-04;15,500000;15,710000;15,260000;15,270000;3800,000000;13,556143
2015-05;15,170000;15,270000;14,795000;14,850000;2900,000000;13,272810
2015-06;14,810000;14,810000;14,020000;14,020000;2100,000000;12,619341
2015-07;13,910000;14,340000;13,864000;14,080000;4100,000000;12,768059
2015-08;13,990000;14,040000;12,950000;13,170000;3100,000000;12,031721
2015-09;13,020000;13,350000;12,760000;12,980000;2900,000000;11,952529
2015-10;12,840000;13,714000;12,823000;13,180000;2400,000000;12,234727
2015-11;13,160000;13,326000;12,650000;13,160000;1500,000000;12,313322
2015-12;13,070000;13,090000;12,127000;12,640000;2400,000000;12,062566
2016-01;12,550000;13,000000;11,030000;11,840000;3200,000000;11,299111
2016-02;11,970000;12,700000;11,430000;12,620000;1200,000000;12,150204
2016-03;12,620000;13,920000;12,580000;13,824000;3900,000000;13,309383
2016-04;13,840000;14,360000;13,590000;13,990000;6400,000000;13,469204
2016-05;13,990000;14,850000;13,770000;14,280000;9300,000000;13,841410
2016-06;14,340000;15,370000;13,950000;15,140000;19200,000000;14,772237
2016-07;15,290000;15,680000;14,930000;15,650000;58900,000000;15,365246
2016-08;15,670000;15,670000;15,160000;15,390000;22000,000000;15,201282
2016-09;15,330000;15,850000;14,710000;15,180000;45600,000000;15,085999
2016-10;15,460000;15,460000;14,170000;14,630000;23100,000000;14,630000
2016-11;14,560000;14,560000;13,700000;14,260000;25100,000000;14,260000
2016-12;14,230000;14,320000;13,868000;14,310000;31800,000000;14,310000
